row_index,time,injection_ec,net_flow,tl_interval_flow,tl_bottom_flow,tl_collar_flow,tl_interval_ec,tl_bottom_ec,tl_interval_pressure,tl_bottom_pressure,tl_packer_pressure,tl_tec_int_u,tl_tec_int_l,tl_tec_bot_u,tl_tec_bot_l,tn_interval_flow,tn_bottom_flow,tn_collar_flow,tn_interval_ec,tn_bottom_ec,tn_interval_pressure,tn_bottom_pressure,tn_packer_pressure,tn_tec_int_u,tn_tec_int_l,tn_tec_bot_u,tn_tec_bot_l,tc_interval_flow,tc_bottom_flow,tc_collar_flow,tc_interval_ec,tc_bottom_ec,tc_interval_pressure,tc_bottom_pressure,injection_pressure,tc_packer_pressure,tc_tec_int_u,tc_tec_int_l,tc_tec_bot_u,tc_tec_bot_l,tu_interval_flow,tu_bottom_flow,tu_collar_flow,tu_interval_ec,tu_bottom_ec,tu_interval_pressure,tu_bottom_pressure,pt_403,tu_packer_pressure,tu_tec_int_u,tu_tec_int_l,tu_tec_bot_u,tu_tec_bot_l,ts_interval_flow,ts_bottom_flow,ts_collar_flow,ts_interval_ec,ts_bottom_ec,ts_interval_pressure,ts_bottom_pressure,pt_503,pt_504,ts_packer_pressure,tl_packer_center_depth,tn_packer_center_depth,tc_packer_center_depth,ts_packer_center_depth
15,2024-12-11 12:00:00,347.418539,0.012147,0.006036,0.002713,0.095163,494.543283,480.212329,3.208885,20.171817,48.802272,25.797092,25.93189,25.882335,26.040789,0.002386,0.001509,0.007289,412.85303,419.86061,-6.792523,-12.124423,48.66119,24.652136,24.724217,24.689858,24.753255,-0.000177,-0.00025,0.065061,144.866014,466.639305,-6.100836,50.262132,10.821969,54.965931,25.382132,25.450561,25.406459,25.551657,-0.005219,0.015569,0.00654,338.45531,582.56164,65.991966,11.609988,97.144789,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.004909,-0.001125,0.027306,414.377154,653.449591,-12.86316,-8.96976,-36.932882,135.400076,9.483794,170.2,135.1,165.6,0.0
16,2024-12-11 13:00:00,347.418539,0.011916,0.00604,0.002534,0.095209,494.708033,481.061335,3.211615,20.179669,48.802272,25.797092,25.931948,25.882304,26.040812,0.00239,0.001274,0.006617,413.515356,420.064427,-6.788022,-12.192898,49.220851,24.659543,24.731447,24.697041,24.760213,-0.000304,-0.000192,0.064649,145.364319,466.417115,-6.100836,50.262132,11.047577,54.965931,25.389317,25.458374,25.413464,25.558864,-0.005221,0.015226,0.006751,338.45531,583.002092,65.842215,11.560473,97.053179,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.00505,-0.000909,0.027721,413.241836,653.756315,-12.893391,-9.013612,-36.918463,135.392756,9.251319,170.2,135.1,165.6,0.0
17,2024-12-11 14:00:00,347.418539,0.011699,0.00627,0.002554,0.095162,495.609846,480.712547,3.260028,20.205365,48.802272,25.797092,25.93195,25.882475,26.041187,0.002751,0.001183,0.006448,413.881062,419.643361,-6.830835,-12.159459,49.241934,24.652239,24.72396,24.689894,24.75459,-0.000248,-9.1e-05,0.065113,145.623672,466.083129,-6.100836,50.262132,11.184006,54.965931,25.382082,25.45047,25.406616,25.551621,-0.005182,0.01529,0.006668,338.537058,581.868986,65.745038,11.713082,96.793653,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.005017,-0.000922,0.027967,413.510143,653.419919,-12.91352,-9.006296,-37.260738,135.003214,9.251715,170.2,135.1,165.6,0.0
18,2024-12-11 15:00:00,347.418539,0.010958,0.005935,0.002507,0.094779,495.467151,480.267161,3.22742,20.521109,48.802272,25.797092,25.925261,25.875613,26.034663,0.002669,0.001183,0.006133,413.338614,419.327515,-6.869383,-12.169912,49.312291,24.652347,24.723782,24.689852,24.755511,-0.000218,-8.4e-05,0.065415,146.662652,466.32041,-6.100836,50.262132,12.243273,54.965931,25.382397,25.450876,25.406814,25.551917,-0.005095,0.014961,0.006235,338.45531,582.532241,169.702309,11.834556,200.877013,1148.666436,25.357824,25.382229,25.434719,25.368439,-0.004722,-0.001102,0.02769,414.268136,653.245598,-12.739709,-9.026637,-36.381648,135.45487,8.707826,170.2,135.1,165.6,0.0
19,2024-12-11 16:00:00,347.418539,0.011691,0.005716,0.002537,0.095487,494.971672,480.415937,3.30244,20.206662,48.802272,25.797092,25.928068,25.881634,26.039589,0.002843,0.001417,0.006823,412.324932,419.576772,-6.756986,-12.1583,48.845236,24.651064,24.724429,24.691302,24.766095,-0.000215,-4e-06,0.065006,145.721058,465.838521,-6.100836,50.262132,11.658291,54.965931,25.385074,25.447862,25.413889,25.554653,-0.00516,0.01502,0.006902,338.791437,582.068012,1005.172422,10.702411,1036.61895,1551.269524,25.357824,25.382229,25.434719,25.368439,-0.004915,-0.000949,0.027921,414.134298,653.943619,-12.91977,-9.005202,-36.658929,135.147629,10.413393,170.2,135.1,165.6,0.0
20,2024-12-11 17:00:00,347.418539,0.012459,0.005768,0.002702,0.095298,495.850459,481.360804,3.225598,20.352591,48.802272,25.797092,25.923019,25.874024,26.034464,0.002649,0.001495,0.006563,413.632678,419.608078,-6.822443,-12.141895,49.429501,24.645816,24.716007,24.684949,24.755726,-0.000179,-0.000249,0.064827,146.079224,465.638046,-6.100836,50.262132,11.806922,54.965931,25.375304,25.447862,25.395107,25.532782,-0.00524,0.015022,0.007277,338.638153,582.502561,2058.884937,10.871649,2092.944278,2552.904202,25.357824,25.382229,25.412448,25.368439,-0.004952,-0.000985,0.026993,414.411959,652.798224,-12.708114,-8.972591,-36.418915,135.410059,15.471213,170.2,135.1,165.6,0.0
21,2024-12-11 18:00:00,347.418539,0.012043,0.005674,0.002612,0.095319,495.652683,480.590104,3.330764,20.423528,48.802272,25.797092,25.924221,25.873105,26.034602,0.002846,0.001318,0.006495,413.489468,418.763201,-6.766758,-12.185359,49.060976,24.648817,24.716709,24.686195,24.751332,-0.000487,-0.000325,0.064334,145.407592,464.956697,-6.100836,50.262132,12.576682,54.965931,25.378495,25.448086,25.399399,25.54657,-0.005494,0.014858,0.006928,338.584253,582.680917,2972.343429,11.185921,3009.425119,3467.514588,25.308787,25.355875,25.255313,25.368439,-0.00474,-0.000878,0.027455,414.697611,653.404075,-12.602274,-8.944363,-36.17364,135.756867,30.933348,170.2,135.1,165.6,0.0
22,2024-12-11 19:00:00,347.418539,0.012853,0.005743,0.002613,0.095399,494.924821,480.730865,50.540306,24.193321,262.976783,25.797092,25.927006,25.871661,26.053171,0.00268,0.001348,0.006275,413.253749,419.282747,-5.952607,-11.859873,256.126942,24.647781,24.718103,24.682554,24.766643,-0.000575,-0.000188,0.064718,145.008388,465.858255,30.24365,53.673926,49.267277,162.899622,25.379671,25.449457,25.395107,25.556983,-0.005457,0.015039,0.005744,338.45531,583.1773,3178.069973,11.705016,3206.371508,3648.852556,25.178856,25.234051,25.255313,25.368439,-0.005006,-0.000788,0.027625,413.606121,654.949878,-12.850321,-8.984978,-35.824426,136.07756,46.006437,170.2,135.1,165.6,0.0
23,2024-12-11 20:00:00,352.014525,1.548587,0.006202,0.003113,0.095444,464.284974,469.566291,75.184162,31.789241,1492.372848,25.797092,25.93945,25.871661,26.160797,0.003712,0.001391,0.006435,371.93056,419.52533,-1.325339,-10.692031,1491.877051,24.648556,24.726067,24.682981,24.826521,-0.000357,0.000289,0.065057,143.250704,453.448229,80.49795,69.306011,98.295719,1483.008235,25.375304,25.455192,25.395107,25.659362,-0.005294,0.015353,0.002481,338.45531,576.193038,3178.069973,12.087279,3206.371508,3648.852556,25.178856,25.234051,25.255313,25.368439,-0.004733,-0.000553,0.026766,415.210719,653.417559,-13.033152,-9.024542,-36.730356,135.616365,51.773235,170.2,135.1,165.6,0.0
24,2024-12-11 21:00:00,358.848162,2.499886,0.005588,0.002542,0.095086,432.090052,460.529681,4.508905,21.753128,1494.314803,25.797092,25.93471,25.871661,26.091442,0.002449,0.001324,0.00636,329.360353,406.511144,-2.567876,-9.750515,1491.200006,24.651145,24.729206,24.704903,24.79975,-0.000627,-1.2e-05,0.065214,140.116091,443.454519,-5.060974,51.040418,12.470877,1493.560291,25.376623,25.454321,25.395107,25.597153,-0.005284,0.015274,0.002481,338.45531,537.917276,3178.069973,12.828128,3206.371508,3648.852556,25.178856,25.234051,25.255313,25.368439,-0.005103,-0.000684,0.027138,414.83057,654.060559,-13.175258,-8.992184,-37.210828,135.012087,62.134395,170.2,135.1,165.6,0.0
25,2024-12-11 22:00:00,363.61398,2.318735,0.005795,0.00256,0.095716,433.187076,461.011206,4.525871,21.650249,1491.5692,25.797092,25.92631,25.871661,26.057201,0.011355,0.142893,0.006304,327.597544,412.043792,0.277384,-9.199066,1496.517984,24.705337,24.743203,24.800522,24.861615,-0.000615,-6.7e-05,0.065097,140.116091,443.637563,-4.986624,51.113232,12.893253,1493.058194,25.375304,25.447862,25.395107,25.566849,-0.005334,0.015182,0.002481,338.45531,516.406205,3178.069973,12.455646,3206.371508,3648.852556,25.178856,25.234051,25.255313,25.368439,-0.005066,-0.000684,0.026917,414.69691,654.330913,-13.157401,-8.992958,-37.158034,134.356344,67.476294,170.2,135.1,165.6,0.0
26,2024-12-11 23:00:00,364.732873,0.011328,0.006214,0.00225,0.095067,437.136593,462.884717,5.092998,22.11108,1474.167823,25.80211,25.932972,25.876402,26.053016,0.00227,0.177771,0.006489,325.31088,2013.903971,1883.954141,-10.839414,2527.188872,24.819871,24.918543,25.016259,25.088233,-0.000678,0.000101,0.064987,140.116091,443.1622,15.135825,51.910342,32.782635,1481.050595,25.382533,25.455917,25.404576,25.565201,-0.005426,0.015058,0.002481,338.45531,515.069975,3178.069973,15.162432,3206.371508,3648.852556,25.178856,25.234051,25.255313,25.332225,-0.005054,-0.000415,0.027708,414.697842,653.909124,-12.893928,-9.005497,-37.272495,134.293343,66.090739,170.2,135.1,165.6,0.0
27,2024-12-12 00:00:00,365.070402,0.011563,0.006464,0.002105,0.095257,436.680372,462.114036,7.01054,22.317435,1447.668418,25.803283,25.931936,25.877411,26.046406,0.002327,0.062645,0.006699,324.72178,2172.169753,2761.901773,-11.185344,3150.787248,24.793969,24.914193,24.995283,25.2388,-0.000494,1e-05,0.065413,140.116091,441.966702,369.223991,55.314267,385.478981,1525.823182,25.386116,25.466261,25.408737,25.565135,-0.005258,0.015126,0.002481,339.342712,514.612852,3178.069973,17.056625,3206.371508,3648.852556,25.178856,25.234051,25.255313,25.179052,-0.005122,-0.000732,0.027541,414.002853,653.508926,-12.820913,-8.995112,-37.254971,134.059751,64.05638,170.2,135.1,165.6,0.0
28,2024-12-12 01:00:00,364.892159,0.011757,0.00627,0.002143,0.095095,436.926028,463.163282,27.640027,22.620985,1429.818724,25.797568,25.925269,25.871806,26.037126,0.002358,0.037016,0.007001,325.133192,2172.169753,2753.783475,-10.847136,3137.513785,24.737674,24.848129,24.869301,25.09724,-0.000612,9e-06,0.064708,140.116091,442.514211,707.67709,63.378978,724.056124,1611.174413,25.380386,25.460786,25.403644,25.560823,-0.005252,0.01516,0.002481,338.45531,512.518512,3056.52169,18.231458,3092.595936,3648.852556,25.178856,25.234051,25.255313,25.179052,-0.004913,-0.000542,0.027845,414.967505,653.028115,-12.776419,-8.994775,-37.35701,133.975232,63.188803,170.2,135.1,165.6,0.0
29,2024-12-12 02:00:00,365.580125,0.011981,0.006466,0.001994,0.094954,435.781831,463.070579,137.436187,23.423773,1430.808247,25.80694,25.935709,25.880998,26.044855,0.002387,0.029338,0.006754,325.313529,2172.169753,2724.132065,-9.965117,3106.272258,24.711927,24.813542,24.811694,25.016053,-0.000787,0.000157,0.065603,140.366596,443.106749,836.628508,70.336371,853.329564,1652.437338,25.379707,25.457013,25.403593,25.558891,-0.005244,0.015058,0.002481,338.45531,514.620459,2945.591036,19.54401,2981.699233,3648.852556,25.178856,25.234051,25.255313,25.179052,-0.004977,-0.000563,0.027781,414.468604,653.79255,-12.77388,-8.973088,-37.241661,133.887385,62.327057,170.2,135.1,165.6,0.0
30,2024-12-12 03:00:00,365.554396,0.012023,0.006339,0.002063,0.095547,434.983493,462.641439,301.530029,25.920996,1451.511201,25.807687,25.937421,25.881532,26.046801,0.002533,0.023811,0.006537,325.151245,2172.169753,2686.584814,-10.004497,3069.68892,24.703683,24.799877,24.786022,24.969504,-0.000613,0.000275,0.065133,140.116091,442.921001,874.801316,76.332446,891.555032,1661.38213,25.386039,25.460643,25.409953,25.561973,-0.005647,0.015097,0.002481,338.483659,514.077383,2861.211468,20.680771,2897.395105,3635.907824,25.235926,25.234051,25.255313,25.179052,-0.004826,-0.000645,0.027261,414.361255,653.724832,-12.862374,-9.029114,-37.649596,133.539327,61.941877,170.2,135.1,165.6,0.0
31,2024-12-12 04:00:00,365.592319,0.01229,0.006155,0.002153,0.094811,436.032512,463.095065,370.543406,34.019318,1457.632073,25.800703,25.928689,25.875197,26.039288,0.002224,0.015929,0.006737,324.613148,2172.169753,2644.710341,-9.974858,3030.00392,24.687491,24.7791,24.758067,24.92267,-0.00047,-3.3e-05,0.065451,140.116091,442.796227,881.716076,81.271824,898.757385,1658.49514,25.379116,25.45185,25.403015,25.552807,-0.00589,0.015091,0.002481,338.45531,515.6274,2790.079908,22.142835,2826.756035,3582.965449,25.256201,25.234051,25.279273,25.179052,-0.004723,-0.000596,0.028294,414.956875,654.25206,-12.878579,-9.066717,-37.489883,133.565281,61.383157,170.2,135.1,165.6,0.0
32,2024-12-12 05:00:00,364.618434,0.012188,0.005882,0.002424,0.094899,436.062171,462.06538,384.131674,50.29591,1451.97572,25.807765,25.934078,25.88318,26.044958,0.00223,0.005754,0.006673,325.155026,2172.169753,2599.873492,-9.970852,2986.98527,24.680589,24.768352,24.743353,24.901423,-0.000561,-1.9e-05,0.065096,140.116091,442.397436,868.41615,86.4239,885.442782,1647.808719,25.375304,25.447862,25.395178,25.543585,-0.005192,0.014837,0.00252,339.415914,514.579558,2727.44146,23.415352,2764.705291,3536.560345,25.270785,25.234051,25.297103,25.179052,-0.004977,-0.000791,0.028199,413.999447,654.178953,-12.915541,-9.057566,-37.456165,133.506495,60.998199,170.2,135.1,165.6,0.0
33,2024-12-12 06:00:00,365.60936,0.01203,0.006039,0.002521,0.095408,436.912643,462.403539,404.819975,50.29591,1448.761803,25.801243,25.926394,25.875635,26.037284,0.002286,0.001526,0.006493,325.062313,2172.169753,2553.118299,-9.99659,2942.930969,24.6693,24.754435,24.72688,24.872173,-0.000736,1.6e-05,0.065174,141.157639,441.407463,845.481154,91.589913,862.838126,1634.373801,25.375304,25.447862,25.395107,25.542588,-0.00538,0.014796,0.002481,338.472167,514.475944,2670.62964,25.000922,2708.411815,3494.56045,25.292534,25.234051,25.320718,25.179052,-0.005185,-0.000723,0.027549,413.807521,653.497592,-12.866611,-9.044321,-37.039801,134.159133,60.632174,170.2,135.1,165.6,0.0
34,2024-12-12 07:00:00,365.502079,0.011919,0.005735,0.002534,0.095303,436.612406,461.381665,422.242852,50.29591,1446.183838,25.809009,25.933391,25.88307,26.044667,0.002367,0.001471,0.006932,325.929298,2172.169753,2505.981049,-9.959479,2898.720773,24.679231,24.762411,24.733054,24.868081,-0.000595,-1.3e-05,0.065388,141.517154,443.378496,817.554342,96.810276,834.739477,1618.951153,25.385873,25.455111,25.409063,25.556156,-0.005196,0.015034,0.002481,338.45531,515.017059,2618.001253,26.793803,2655.149918,3455.856189,25.317098,25.234051,25.346241,25.196931,-0.004912,-0.000925,0.027542,413.250477,653.543205,-12.884418,-9.034669,-37.337489,134.067737,60.341708,170.2,135.1,165.6,0.0
