Column,dtype,Units,Transformations,Non-null count
TN-TEC-BOT-U__lag_24h,float64,°C,None,1658
TN-TEC-BOT-L__lag_1h,float64,°C,None,1681
TN-TEC-BOT-L__lag_3h,float64,°C,None,1679
TN-TEC-BOT-L__lag_6h,float64,°C,None,1676
TN-TEC-BOT-L__lag_12h,float64,°C,None,1670
TN-TEC-BOT-L__lag_24h,float64,°C,None,1658
TC-TEC-INT-U__lag_1h,float64,°C,None,1681
TC-TEC-INT-U__lag_3h,float64,°C,None,1679
TC-TEC-INT-U__lag_6h,float64,°C,None,1676
TC-TEC-INT-U__lag_12h,float64,°C,None,1670
TC-TEC-INT-U__lag_24h,float64,°C,None,1658
TC-TEC-INT-L__lag_1h,float64,°C,None,1681
TC-TEC-INT-L__lag_3h,float64,°C,None,1679
TC-TEC-INT-L__lag_6h,float64,°C,None,1676
TC-TEC-INT-L__lag_12h,float64,°C,None,1670
TC-TEC-INT-L__lag_24h,float64,°C,None,1658
TC-TEC-BOT-U__lag_1h,float64,°C,None,1681
TC-TEC-BOT-U__lag_3h,float64,°C,None,1679
TC-TEC-BOT-U__lag_6h,float64,°C,None,1676
TC-TEC-BOT-U__lag_12h,float64,°C,None,1670
TC-TEC-BOT-U__lag_24h,float64,°C,None,1658
TC-TEC-BOT-L__lag_1h,float64,°C,None,1681
TC-TEC-BOT-L__lag_3h,float64,°C,None,1679
TC-TEC-BOT-L__lag_6h,float64,°C,None,1676
TC-TEC-BOT-L__lag_12h,float64,°C,None,1670
TC-TEC-BOT-L__lag_24h,float64,°C,None,1658
TU-TEC-INT-U__lag_1h,float64,°C,None,1681
TU-TEC-INT-U__lag_3h,float64,°C,None,1679
TU-TEC-INT-U__lag_6h,float64,°C,None,1676
TU-TEC-INT-U__lag_12h,float64,°C,None,1670
TU-TEC-INT-U__lag_24h,float64,°C,None,1658
TU-TEC-INT-L__lag_1h,float64,°C,None,1681
TU-TEC-INT-L__lag_3h,float64,°C,None,1679
TU-TEC-INT-L__lag_6h,float64,°C,None,1676
TU-TEC-INT-L__lag_12h,float64,°C,None,1670
TU-TEC-INT-L__lag_24h,float64,°C,None,1658
TU-TEC-BOT-U__lag_1h,float64,°C,None,1681
TU-TEC-BOT-U__lag_3h,float64,°C,None,1679
TU-TEC-BOT-U__lag_6h,float64,°C,None,1676
TU-TEC-BOT-U__lag_12h,float64,°C,None,1670
TU-TEC-BOT-U__lag_24h,float64,°C,None,1658
TU-TEC-BOT-L__lag_1h,float64,°C,None,1681
TU-TEC-BOT-L__lag_3h,float64,°C,None,1679
TU-TEC-BOT-L__lag_6h,float64,°C,None,1676
TU-TEC-BOT-L__lag_12h,float64,°C,None,1670
TU-TEC-BOT-L__lag_24h,float64,°C,None,1658
TL Interval EC__lag_1h,float64,µS/cm,None,1681
TL Interval EC__lag_3h,float64,µS/cm,None,1679
TL Interval EC__lag_6h,float64,µS/cm,None,1676
TL Interval EC__lag_12h,float64,µS/cm,None,1670
TL Interval EC__lag_24h,float64,µS/cm,None,1658
TL Bottom EC__lag_1h,float64,µS/cm,None,1681
TL Bottom EC__lag_3h,float64,µS/cm,None,1679
TL Bottom EC__lag_6h,float64,µS/cm,None,1676
TL Bottom EC__lag_12h,float64,µS/cm,None,1670
TL Bottom EC__lag_24h,float64,µS/cm,None,1658
TN Interval EC__lag_1h,float64,µS/cm,None,1681
TN Interval EC__lag_3h,float64,µS/cm,None,1679
TN Interval EC__lag_6h,float64,µS/cm,None,1676
TN Interval EC__lag_12h,float64,µS/cm,None,1670
TN Interval EC__lag_24h,float64,µS/cm,None,1658
TN Bottom EC__lag_1h,float64,µS/cm,None,1681
TN Bottom EC__lag_3h,float64,µS/cm,None,1679
TN Bottom EC__lag_6h,float64,µS/cm,None,1676
TN Bottom EC__lag_12h,float64,µS/cm,None,1670
TN Bottom EC__lag_24h,float64,µS/cm,None,1658
TC Interval EC__lag_1h,float64,µS/cm,None,1681
TC Interval EC__lag_3h,float64,µS/cm,None,1679
TC Interval EC__lag_6h,float64,µS/cm,None,1676
TC Interval EC__lag_12h,float64,µS/cm,None,1670
TC Interval EC__lag_24h,float64,µS/cm,None,1658
TC Bottom EC__lag_1h,float64,µS/cm,None,1681
TC Bottom EC__lag_3h,float64,µS/cm,None,1679
TC Bottom EC__lag_6h,float64,µS/cm,None,1676
TC Bottom EC__lag_12h,float64,µS/cm,None,1670
TC Bottom EC__lag_24h,float64,µS/cm,None,1658
TU Interval EC__lag_1h,float64,µS/cm,None,1681
TU Interval EC__lag_3h,float64,µS/cm,None,1679
TU Interval EC__lag_6h,float64,µS/cm,None,1676
TU Interval EC__lag_12h,float64,µS/cm,None,1670
TU Interval EC__lag_24h,float64,µS/cm,None,1658
TU Bottom EC__lag_1h,float64,µS/cm,None,1681
TU Bottom EC__lag_3h,float64,µS/cm,None,1679
TU Bottom EC__lag_6h,float64,µS/cm,None,1676
TU Bottom EC__lag_12h,float64,µS/cm,None,1670
TU Bottom EC__lag_24h,float64,µS/cm,None,1658
TS Interval EC__lag_1h,float64,µS/cm,None,1681
TS Interval EC__lag_3h,float64,µS/cm,None,1679
TS Interval EC__lag_6h,float64,µS/cm,None,1676
TS Interval EC__lag_12h,float64,µS/cm,None,1670
TS Interval EC__lag_24h,float64,µS/cm,None,1658
TS Bottom EC__lag_1h,float64,µS/cm,None,1681
TS Bottom EC__lag_3h,float64,µS/cm,None,1679
TS Bottom EC__lag_6h,float64,µS/cm,None,1676
TS Bottom EC__lag_12h,float64,µS/cm,None,1670
TS Bottom EC__lag_24h,float64,µS/cm,None,1658
Net Flow__roll_mean_3h,float64,L/min,None,1680
Net Flow__roll_std_3h,float64,L/min,None,1680
Net Flow__roll_min_3h,float64,L/min,None,1680
Net Flow__roll_max_3h,float64,L/min,None,1680
Net Flow__roll_mean_6h,float64,L/min,None,1683
Net Flow__roll_std_6h,float64,L/min,None,1683
Net Flow__roll_min_6h,float64,L/min,None,1683
Net Flow__roll_max_6h,float64,L/min,None,1683
Net Flow__roll_mean_12h,float64,L/min,None,1683
Net Flow__roll_std_12h,float64,L/min,None,1683
Net Flow__roll_min_12h,float64,L/min,None,1683
Net Flow__roll_max_12h,float64,L/min,None,1683
Net Flow__roll_mean_24h,float64,L/min,None,1683
Net Flow__roll_std_24h,float64,L/min,None,1683
Net Flow__roll_min_24h,float64,L/min,None,1683
Net Flow__roll_max_24h,float64,L/min,None,1683
Injection Pressure__roll_mean_3h,float64,psi,None,1680
Injection Pressure__roll_std_3h,float64,psi,None,1680
Injection Pressure__roll_min_3h,float64,psi,None,1680
Injection Pressure__roll_max_3h,float64,psi,None,1680
Injection Pressure__roll_mean_6h,float64,psi,None,1683
Injection Pressure__roll_std_6h,float64,psi,None,1683
Injection Pressure__roll_min_6h,float64,psi,None,1683
Injection Pressure__roll_max_6h,float64,psi,None,1683
Injection Pressure__roll_mean_12h,float64,psi,None,1683
Injection Pressure__roll_std_12h,float64,psi,None,1683
Injection Pressure__roll_min_12h,float64,psi,None,1683
Injection Pressure__roll_max_12h,float64,psi,None,1683
Injection Pressure__roll_mean_24h,float64,psi,None,1683
Injection Pressure__roll_std_24h,float64,psi,None,1683
Injection Pressure__roll_min_24h,float64,psi,None,1683
Injection Pressure__roll_max_24h,float64,psi,None,1683
Injection EC__roll_mean_3h,float64,µS/cm,None,1680
Injection EC__roll_std_3h,float64,µS/cm,None,1680
Injection EC__roll_min_3h,float64,µS/cm,None,1680
Injection EC__roll_max_3h,float64,µS/cm,None,1680
Injection EC__roll_mean_6h,float64,µS/cm,None,1683
Injection EC__roll_std_6h,float64,µS/cm,None,1683
Injection EC__roll_min_6h,float64,µS/cm,None,1683
Injection EC__roll_max_6h,float64,µS/cm,None,1683
Injection EC__roll_mean_12h,float64,µS/cm,None,1683
Injection EC__roll_std_12h,float64,µS/cm,None,1683
Injection EC__roll_min_12h,float64,µS/cm,None,1683
Injection EC__roll_max_12h,float64,µS/cm,None,1683
Injection EC__roll_mean_24h,float64,µS/cm,None,1683
Injection EC__roll_std_24h,float64,µS/cm,None,1683
Injection EC__roll_min_24h,float64,µS/cm,None,1683
Injection EC__roll_max_24h,float64,µS/cm,None,1683
TC Interval Pressure__roll_mean_3h,float64,psi,None,1680
TC Interval Pressure__roll_std_3h,float64,psi,None,1680
TC Interval Pressure__roll_min_3h,float64,psi,None,1680
TC Interval Pressure__roll_max_3h,float64,psi,None,1680
TC Interval Pressure__roll_mean_6h,float64,psi,None,1683
TC Interval Pressure__roll_std_6h,float64,psi,None,1683
TC Interval Pressure__roll_min_6h,float64,psi,None,1683
TC Interval Pressure__roll_max_6h,float64,psi,None,1683
TC Interval Pressure__roll_mean_12h,float64,psi,None,1683
TC Interval Pressure__roll_std_12h,float64,psi,None,1683
TC Interval Pressure__roll_min_12h,float64,psi,None,1683
TC Interval Pressure__roll_max_12h,float64,psi,None,1683
TC Interval Pressure__roll_mean_24h,float64,psi,None,1683
TC Interval Pressure__roll_std_24h,float64,psi,None,1683
TC Interval Pressure__roll_min_24h,float64,psi,None,1683
TC Interval Pressure__roll_max_24h,float64,psi,None,1683
Total_Production_Flow__roll_mean_3h,float64,L/min,None,1700
Total_Production_Flow__roll_std_3h,float64,L/min,None,1700
Total_Production_Flow__roll_min_3h,float64,L/min,None,1700
Total_Production_Flow__roll_max_3h,float64,L/min,None,1700
Total_Production_Flow__roll_mean_6h,float64,L/min,None,1700
Total_Production_Flow__roll_std_6h,float64,L/min,None,1700
Total_Production_Flow__roll_min_6h,float64,L/min,None,1700
Total_Production_Flow__roll_max_6h,float64,L/min,None,1700
Total_Production_Flow__roll_mean_12h,float64,L/min,None,1698
Total_Production_Flow__roll_std_12h,float64,L/min,None,1698
Total_Production_Flow__roll_min_12h,float64,L/min,None,1698
Total_Production_Flow__roll_max_12h,float64,L/min,None,1698
Total_Production_Flow__roll_mean_24h,float64,L/min,None,1694
Total_Production_Flow__roll_std_24h,float64,L/min,None,1694
Total_Production_Flow__roll_min_24h,float64,L/min,None,1694
Total_Production_Flow__roll_max_24h,float64,L/min,None,1694
Pressure_Differential__roll_mean_3h,float64,psi,None,1680
Pressure_Differential__roll_std_3h,float64,psi,None,1680
Pressure_Differential__roll_min_3h,float64,psi,None,1680
Pressure_Differential__roll_max_3h,float64,psi,None,1680
Pressure_Differential__roll_mean_6h,float64,psi,None,1683
Pressure_Differential__roll_std_6h,float64,psi,None,1683
Pressure_Differential__roll_min_6h,float64,psi,None,1683
Pressure_Differential__roll_max_6h,float64,psi,None,1683
Pressure_Differential__roll_mean_12h,float64,psi,None,1683
Pressure_Differential__roll_std_12h,float64,psi,None,1683
Pressure_Differential__roll_min_12h,float64,psi,None,1683
Pressure_Differential__roll_max_12h,float64,psi,None,1683
Pressure_Differential__roll_mean_24h,float64,psi,None,1683
Pressure_Differential__roll_std_24h,float64,psi,None,1683
Pressure_Differential__roll_min_24h,float64,psi,None,1683
Pressure_Differential__roll_max_24h,float64,psi,None,1683
TC_Impedance_Proxy__roll_mean_3h,float64,psi / (L/min),None,1680
TC_Impedance_Proxy__roll_std_3h,float64,psi / (L/min),None,1680
TC_Impedance_Proxy__roll_min_3h,float64,psi / (L/min),None,1680
TC_Impedance_Proxy__roll_max_3h,float64,psi / (L/min),None,1680
TC_Impedance_Proxy__roll_mean_6h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_std_6h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_min_6h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_max_6h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_mean_12h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_std_12h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_min_12h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_max_12h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_mean_24h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_std_24h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_min_24h,float64,psi / (L/min),None,1683
TC_Impedance_Proxy__roll_max_24h,float64,psi / (L/min),None,1683
TL-TEC-INT-U__roll_mean_3h,float64,°C,None,1680
TL-TEC-INT-U__roll_std_3h,float64,°C,None,1680
TL-TEC-INT-U__roll_min_3h,float64,°C,None,1680
TL-TEC-INT-U__roll_max_3h,float64,°C,None,1680
TL-TEC-INT-U__roll_mean_6h,float64,°C,None,1683
TL-TEC-INT-U__roll_std_6h,float64,°C,None,1683
TL-TEC-INT-U__roll_min_6h,float64,°C,None,1683
TL-TEC-INT-U__roll_max_6h,float64,°C,None,1683
TL-TEC-INT-U__roll_mean_12h,float64,°C,None,1683
TL-TEC-INT-U__roll_std_12h,float64,°C,None,1683
TL-TEC-INT-U__roll_min_12h,float64,°C,None,1683
TL-TEC-INT-U__roll_max_12h,float64,°C,None,1683
TL-TEC-INT-U__roll_mean_24h,float64,°C,None,1683
TL-TEC-INT-U__roll_std_24h,float64,°C,None,1683
TL-TEC-INT-U__roll_min_24h,float64,°C,None,1683
TL-TEC-INT-U__roll_max_24h,float64,°C,None,1683
TL-TEC-INT-L__roll_mean_3h,float64,°C,None,1680
TL-TEC-INT-L__roll_std_3h,float64,°C,None,1680
TL-TEC-INT-L__roll_min_3h,float64,°C,None,1680
TL-TEC-INT-L__roll_max_3h,float64,°C,None,1680
TL-TEC-INT-L__roll_mean_6h,float64,°C,None,1683
TL-TEC-INT-L__roll_std_6h,float64,°C,None,1683
TL-TEC-INT-L__roll_min_6h,float64,°C,None,1683
TL-TEC-INT-L__roll_max_6h,float64,°C,None,1683
TL-TEC-INT-L__roll_mean_12h,float64,°C,None,1683
TL-TEC-INT-L__roll_std_12h,float64,°C,None,1683
TL-TEC-INT-L__roll_min_12h,float64,°C,None,1683
TL-TEC-INT-L__roll_max_12h,float64,°C,None,1683
TL-TEC-INT-L__roll_mean_24h,float64,°C,None,1683
TL-TEC-INT-L__roll_std_24h,float64,°C,None,1683
TL-TEC-INT-L__roll_min_24h,float64,°C,None,1683
TL-TEC-INT-L__roll_max_24h,float64,°C,None,1683
TL-TEC-BOT-U__roll_mean_3h,float64,°C,None,1680
TL-TEC-BOT-U__roll_std_3h,float64,°C,None,1680
TL-TEC-BOT-U__roll_min_3h,float64,°C,None,1680
TL-TEC-BOT-U__roll_max_3h,float64,°C,None,1680
TL-TEC-BOT-U__roll_mean_6h,float64,°C,None,1683
TL-TEC-BOT-U__roll_std_6h,float64,°C,None,1683
TL-TEC-BOT-U__roll_min_6h,float64,°C,None,1683
TL-TEC-BOT-U__roll_max_6h,float64,°C,None,1683
TL-TEC-BOT-U__roll_mean_12h,float64,°C,None,1683
TL-TEC-BOT-U__roll_std_12h,float64,°C,None,1683
TL-TEC-BOT-U__roll_min_12h,float64,°C,None,1683
TL-TEC-BOT-U__roll_max_12h,float64,°C,None,1683
TL-TEC-BOT-U__roll_mean_24h,float64,°C,None,1683
TL-TEC-BOT-U__roll_std_24h,float64,°C,None,1683
TL-TEC-BOT-U__roll_min_24h,float64,°C,None,1683
TL-TEC-BOT-U__roll_max_24h,float64,°C,None,1683
TL-TEC-BOT-L__roll_mean_3h,float64,°C,None,1680
TL-TEC-BOT-L__roll_std_3h,float64,°C,None,1680
TL-TEC-BOT-L__roll_min_3h,float64,°C,None,1680
TL-TEC-BOT-L__roll_max_3h,float64,°C,None,1680
TL-TEC-BOT-L__roll_mean_6h,float64,°C,None,1683
TL-TEC-BOT-L__roll_std_6h,float64,°C,None,1683
TL-TEC-BOT-L__roll_min_6h,float64,°C,None,1683
TL-TEC-BOT-L__roll_max_6h,float64,°C,None,1683
TL-TEC-BOT-L__roll_mean_12h,float64,°C,None,1683
TL-TEC-BOT-L__roll_std_12h,float64,°C,None,1683
TL-TEC-BOT-L__roll_min_12h,float64,°C,None,1683
TL-TEC-BOT-L__roll_max_12h,float64,°C,None,1683
TL-TEC-BOT-L__roll_mean_24h,float64,°C,None,1683
TL-TEC-BOT-L__roll_std_24h,float64,°C,None,1683
TL-TEC-BOT-L__roll_min_24h,float64,°C,None,1683
TL-TEC-BOT-L__roll_max_24h,float64,°C,None,1683
TN-TEC-INT-U__roll_mean_3h,float64,°C,None,1680
TN-TEC-INT-U__roll_std_3h,float64,°C,None,1680
TN-TEC-INT-U__roll_min_3h,float64,°C,None,1680
TN-TEC-INT-U__roll_max_3h,float64,°C,None,1680
TN-TEC-INT-U__roll_mean_6h,float64,°C,None,1683
TN-TEC-INT-U__roll_std_6h,float64,°C,None,1683
TN-TEC-INT-U__roll_min_6h,float64,°C,None,1683
TN-TEC-INT-U__roll_max_6h,float64,°C,None,1683
TN-TEC-INT-U__roll_mean_12h,float64,°C,None,1683
TN-TEC-INT-U__roll_std_12h,float64,°C,None,1683
TN-TEC-INT-U__roll_min_12h,float64,°C,None,1683
TN-TEC-INT-U__roll_max_12h,float64,°C,None,1683
TN-TEC-INT-U__roll_mean_24h,float64,°C,None,1683
TN-TEC-INT-U__roll_std_24h,float64,°C,None,1683
TN-TEC-INT-U__roll_min_24h,float64,°C,None,1683
TN-TEC-INT-U__roll_max_24h,float64,°C,None,1683
TN-TEC-INT-L__roll_mean_3h,float64,°C,None,1680
TN-TEC-INT-L__roll_std_3h,float64,°C,None,1680
TN-TEC-INT-L__roll_min_3h,float64,°C,None,1680
TN-TEC-INT-L__roll_max_3h,float64,°C,None,1680
TN-TEC-INT-L__roll_mean_6h,float64,°C,None,1683
TN-TEC-INT-L__roll_std_6h,float64,°C,None,1683
TN-TEC-INT-L__roll_min_6h,float64,°C,None,1683
TN-TEC-INT-L__roll_max_6h,float64,°C,None,1683
TN-TEC-INT-L__roll_mean_12h,float64,°C,None,1683
TN-TEC-INT-L__roll_std_12h,float64,°C,None,1683
TN-TEC-INT-L__roll_min_12h,float64,°C,None,1683
TN-TEC-INT-L__roll_max_12h,float64,°C,None,1683
TN-TEC-INT-L__roll_mean_24h,float64,°C,None,1683
TN-TEC-INT-L__roll_std_24h,float64,°C,None,1683
TN-TEC-INT-L__roll_min_24h,float64,°C,None,1683
TN-TEC-INT-L__roll_max_24h,float64,°C,None,1683
TN-TEC-BOT-U__roll_mean_3h,float64,°C,None,1680
TN-TEC-BOT-U__roll_std_3h,float64,°C,None,1680
TN-TEC-BOT-U__roll_min_3h,float64,°C,None,1680
TN-TEC-BOT-U__roll_max_3h,float64,°C,None,1680
TN-TEC-BOT-U__roll_mean_6h,float64,°C,None,1683
TN-TEC-BOT-U__roll_std_6h,float64,°C,None,1683
