window_id,start_time,end_time,split,regime_label,gnn_top_pairs,parsed_top_pairs,confidence,parse_ok,parse_error,top3_overlap_rate,jaccard_at_3,top1_match_rate
2014,2025-03-05T19:00:00,2025-03-06T06:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
2015,2025-03-05T20:00:00,2025-03-06T07:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2016,2025-03-05T21:00:00,2025-03-06T08:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2017,2025-03-05T22:00:00,2025-03-06T09:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2018,2025-03-05T23:00:00,2025-03-06T10:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2019,2025-03-06T00:00:00,2025-03-06T11:00:00,test,producing,"[""tn_interval_pressure__tu_interval_pressure"", ""ts_bottom_pressure__tu_interval_pressure"", ""ts_interval_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2020,2025-03-06T01:00:00,2025-03-06T12:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2021,2025-03-06T02:00:00,2025-03-06T13:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2022,2025-03-06T03:00:00,2025-03-06T14:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2023,2025-03-06T04:00:00,2025-03-06T15:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2024,2025-03-06T05:00:00,2025-03-06T16:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2025,2025-03-06T06:00:00,2025-03-06T17:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_bottom_pressure__tn_bottom_pressure"", ""tc_bottom_pressure__tu_interval_pressure"", ""tl_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2026,2025-03-06T07:00:00,2025-03-06T18:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_bottom_pressure__tn_bottom_pressure"", ""tc_bottom_pressure__tu_interval_pressure"", ""tl_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2027,2025-03-06T08:00:00,2025-03-06T19:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]",,,False,invalid_pair_id,0.0,0.0,0.0
2028,2025-03-06T09:00:00,2025-03-06T20:00:00,test,producing,"[""tc_interval_pressure__ts_bottom_pressure"", ""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2029,2025-03-06T10:00:00,2025-03-06T21:00:00,test,producing,"[""tc_interval_pressure__ts_bottom_pressure"", ""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2030,2025-03-06T11:00:00,2025-03-06T22:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2031,2025-03-06T12:00:00,2025-03-06T23:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_bottom_pressure__tn_bottom_pressure"", ""tl_interval_pressure__tn_interval_pressure"", ""tc_bottom_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2032,2025-03-06T13:00:00,2025-03-07T00:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_bottom_pressure__tn_bottom_pressure"", ""tl_interval_pressure__tn_interval_pressure"", ""tc_bottom_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2033,2025-03-06T14:00:00,2025-03-07T01:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_bottom_pressure__tn_bottom_pressure"", ""tl_interval_pressure__tn_interval_pressure"", ""tc_bottom_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2034,2025-03-06T15:00:00,2025-03-07T02:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure"", ""tc_interval_pressure__ts_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2035,2025-03-06T16:00:00,2025-03-07T03:00:00,test,producing,"[""tn_interval_pressure__tu_interval_pressure"", ""ts_interval_pressure__tu_interval_pressure"", ""ts_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
2036,2025-03-06T17:00:00,2025-03-07T04:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure"", ""tc_interval_pressure__ts_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2037,2025-03-06T18:00:00,2025-03-07T05:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tu_bottom_pressure__tu_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.3333333333333333,0.2,0.0
2038,2025-03-06T19:00:00,2025-03-07T06:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2039,2025-03-06T20:00:00,2025-03-07T07:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2040,2025-03-06T21:00:00,2025-03-07T08:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2041,2025-03-06T22:00:00,2025-03-07T09:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2042,2025-03-06T23:00:00,2025-03-07T10:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2043,2025-03-07T00:00:00,2025-03-07T11:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2044,2025-03-07T01:00:00,2025-03-07T12:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__ts_interval_pressure"", ""tn_interval_pressure__ts_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2045,2025-03-07T02:00:00,2025-03-07T13:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tn_interval_pressure__tu_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2046,2025-03-07T03:00:00,2025-03-07T14:00:00,test,producing,"[""tc_bottom_pressure__tc_interval_pressure"", ""tc_interval_pressure__tl_bottom_pressure"", ""tc_interval_pressure__tn_bottom_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
2047,2025-03-07T04:00:00,2025-03-07T15:00:00,test,producing,"[""tc_interval_pressure__tu_interval_pressure"", ""tc_interval_pressure__tn_interval_pressure"", ""tc_interval_pressure__ts_interval_pressure""]","[""tl_interval_pressure__tn_interval_pressure"", ""tl_bottom_pressure__tn_bottom_pressure"", ""tc_interval_pressure__tl_interval_pressure""]",0.7,True,,0.0,0.0,0.0
