model,monitoring_location_id,flow_rate,rolling_21,true_label,arima_test_rmse,llm_prediction,llm_confidence,parse_ok,parse_error
phi-3.5-mini-instruct,USGS-12448000,87.3,142.51904761904763,Low,424.7138682386691,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12452990,632.0,1031.190476190476,Low,464.545206702337,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12462500,5610.0,3788.095238095238,Medium,3884.520412338176,High,0.9,True,
phi-3.5-mini-instruct,USGS-12452800,634.0,833.047619047619,Low,377.8042179976496,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12447200,1646.1538461538462,1665.1724137931035,Low,2142.1682734627743,Medium,0.92,True,
phi-3.5-mini-instruct,USGS-12510500,3450.0,3534.285714285714,Medium,3492.406807749207,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12465400,1.11,1.080952380952381,Low,28.439489028704404,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12488500,139.0,229.33333333333337,Low,279.3940058356053,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12464800,0.8,1.1138095238095238,Low,10.235605106276356,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14013000,285.0,195.04761904761904,Low,139.96007401129722,High,0.85,True,
phi-3.5-mini-instruct,USGS-12472800,90400.0,100319.04761904762,High,31822.81984033152,High,0.95,True,
phi-3.5-mini-instruct,USGS-12449950,509.0,513.0952380952381,Low,1670.1993533228897,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12447200,10300.0,4375.714285714285,High,2142.1682734627743,High,0.9,True,
phi-3.5-mini-instruct,USGS-12422500,4980.0,8793.809523809523,Medium,6063.167585115459,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12505450,52.0,51.38095238095238,Low,28.497420484692174,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-12447383,386.0,775.3333333333334,Low,673.2079271093021,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12456500,1850.0,2010.952380952381,Low,429.0969748447744,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12431000,263.0,255.0,Low,230.0085108294793,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12505450,20.0,20.861904761904764,Low,28.497420484692174,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-14018500,2710.0,2462.8571428571427,Low,918.4129278545872,High,0.9,True,
phi-3.5-mini-instruct,USGS-12500450,2450.0,2721.428571428572,Low,2543.163189720396,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12448500,187.0,214.8571428571429,Low,1154.4545536589758,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13344500,232.0,221.23809523809524,Low,183.7302587220333,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12448998,194.0,120.27619047619046,Low,309.39979389679627,High,0.85,True,
phi-3.5-mini-instruct,USGS-14015000,2.92,5.787619047619048,Low,169.295782003557,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12447390,189.0,264.23809523809524,Low,37.20775723529282,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12445000,1200.0,814.2380952380952,Low,2161.6195853191502,High,0.9,True,
phi-3.5-mini-instruct,USGS-14013700,22.9,25.319047619047616,Low,173.22209602109686,Low,0.65,True,
phi-3.5-mini-instruct,USGS-14111400,3030.0,1545.7142857142858,Medium,753.8943709183061,High,0.9,True,
phi-3.5-mini-instruct,USGS-14018500,4620.0,1296.0,Medium,918.4129278545872,High,0.95,True,
phi-3.5-mini-instruct,USGS-12502500,40.0,32.285714285714285,Low,83.27659503307245,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-12452890,43.5,67.33333333333333,Low,81.48119864454674,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12431500,395.0,456.0,Low,266.07643168612685,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12456500,906.0,686.1428571428571,Low,429.0969748447744,High,0.9,True,
phi-3.5-mini-instruct,USGS-14107000,150.0,205.6190476190476,Low,309.4773905537867,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13334300,32600.0,51476.19047619047,High,18631.86432537051,Low,0.25,True,
phi-3.5-mini-instruct,USGS-13344500,88.0,83.23809523809524,Low,183.7302587220333,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-14113000,818.0,936.3333333333334,Low,1233.3436263976494,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12452890,31.4,30.442857142857147,Low,81.48119864454674,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12452800,284.0,143.9714285714286,Low,377.8042179976496,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12505450,28.86959370904325,29.200538358008075,Low,28.497420484692174,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12447200,1440.0,1051.047619047619,Low,2142.1682734627743,High,0.9,True,
phi-3.5-mini-instruct,USGS-12459000,848.0,852.7619047619048,Low,3552.3653423727915,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12422500,9500.0,16947.619047619046,Medium,6063.167585115459,High,0.9,True,
phi-3.5-mini-instruct,USGS-12459000,1000.0,1861.904761904762,Low,3552.3653423727915,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12431500,594.0,614.7142857142857,Low,266.07643168612685,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12431000,178.0,214.42857142857144,Low,230.0085108294793,Low,0.65,True,
phi-3.5-mini-instruct,USGS-14015000,87.8,91.94285714285714,Low,169.295782003557,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12431500,989.0,1016.7619047619048,Low,266.07643168612685,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12456500,1830.0,1072.7619047619048,Low,429.0969748447744,High,0.9,True,
phi-3.5-mini-instruct,USGS-12449500,568.0,660.3809523809524,Low,1502.8300317743503,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12484500,847.0,852.0,Low,2404.9955726944195,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-13335050,164.0,140.9047619047619,Low,87.55100282214526,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12439500,464.0,389.4761904761905,Low,253.09296883655048,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12458000,128.0,145.33333333333334,Low,778.0209698128198,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12452800,85.2,99.05238095238094,Low,377.8042179976496,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13351000,197.0,72.6047619047619,Low,936.9136059387152,High,0.9,True,
phi-3.5-mini-instruct,USGS-14015000,52.0,85.33333333333333,Low,169.295782003557,Low,0.85,True,
phi-3.5-mini-instruct,USGS-13351000,48.9,72.95238095238093,Low,936.9136059387152,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12464800,2.05,3.435714285714285,Low,10.235605106276356,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14113000,939.0,909.6666666666666,Low,1233.3436263976494,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-12467000,68.1,73.29523809523809,Low,46.87120300321422,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12456500,160.0,237.0,Low,429.0969748447744,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12424000,3.95,1.8909523809523807,Low,486.192387119909,Medium,0.85,True,
phi-3.5-mini-instruct,USGS-13351000,54.9,49.21428571428572,Low,936.9136059387152,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12465400,8.95,10.380952380952392,Low,28.439489028704404,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-14013000,141.0,155.61904761904765,Low,139.96007401129722,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12459000,7540.0,12833.809523809525,Medium,3552.3653423727915,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-14111400,1150.0,908.904761904762,Low,753.8943709183061,High,0.9,True,
phi-3.5-mini-instruct,USGS-12472800,150000.0,195190.47619047613,High,31822.81984033152,High,0.95,True,
phi-3.5-mini-instruct,USGS-12459000,3590.0,2771.428571428572,Medium,3552.3653423727915,High,0.9,True,
phi-3.5-mini-instruct,USGS-14013000,29.9,31.41428571428572,Low,139.96007401129722,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12447390,9.8,14.714285714285714,Low,37.20775723529282,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12452890,147.0,129.85238095238097,Low,81.48119864454674,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-13351000,254.0,320.4761904761905,Low,936.9136059387152,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14018500,946.0,1449.6666666666667,Low,918.4129278545872,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12442500,860.4444444444445,1040.7142857142858,Low,1966.7599058711344,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12448500,234.0,186.23809523809524,Low,1154.4545536589758,High,0.85,True,
phi-3.5-mini-instruct,USGS-12467000,65.0,80.71904761904761,Low,46.87120300321422,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12448000,88.0,62.23809523809524,Low,424.7138682386691,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12472800,114000.0,116423.80952380953,High,31822.81984033152,High,0.95,True,
phi-3.5-mini-instruct,USGS-12467000,7.6,8.26,Low,46.87120300321422,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12447200,927.0,1016.190476190476,Low,2142.1682734627743,Low,0.65,True,
phi-3.5-mini-instruct,USGS-13351000,1280.0,2117.285714285714,Low,936.9136059387152,Medium,0.75,True,
phi-3.5-mini-instruct,USGS-12442500,6770.0,6365.238095238095,Medium,1966.7599058711344,High,0.9,True,
phi-3.5-mini-instruct,USGS-12484500,4910.0,5542.857142857143,Medium,2404.9955726944195,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12472800,98900.0,99185.71428571428,High,31822.81984033152,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-12448500,276.0,274.7619047619048,Low,1154.4545536589758,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-12452800,300.0,470.5238095238095,Low,377.8042179976496,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14013700,76.8,268.5238095238095,Low,173.22209602109686,Low,0.95,True,
phi-3.5-mini-instruct,USGS-12488500,607.0,567.4761904761905,Low,279.3940058356053,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-14107000,156.0,195.7619047619048,Low,309.4773905537867,Low,0.65,True,
phi-3.5-mini-instruct,USGS-12449500,422.0,679.3809523809524,Low,1502.8300317743503,Low,0.85,True,
phi-3.5-mini-instruct,USGS-12442500,582.0,584.4761904761905,Low,1966.7599058711344,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-13348000,3.6,3.407619047619048,Low,136.48781261754797,Medium,0.95,True,
phi-3.5-mini-instruct,USGS-14107000,134.0,132.95238095238096,Low,309.4773905537867,Medium,0.98,True,
phi-3.5-mini-instruct,USGS-12488500,49.1,62.833333333333336,Low,279.3940058356053,Low,0.85,True,
phi-3.5-mini-instruct,USGS-14111400,761.0,819.0952380952381,Low,753.8943709183061,Medium,0.7,True,
phi-3.5-mini-instruct,USGS-12488500,347.0,332.1904761904762,Low,279.3940058356053,Medium,0.9,True,
phi-3.5-mini-instruct,USGS-14015000,273.0,303.0619047619048,Low,169.295782003557,Low,0.65,True,
