region,year,extreme_type,ground_truth,llm_prediction,regression_prediction,llm_diff,regression_diff,llm_confidence,parse_ok,parse_error
N1,2020,c34,1.0,0.0,0.201915132980929,-1.0,-0.798084867019071,0.3,True,
N1,2020,c41,0.0,1.0,1.18212255826141,1.0,1.18212255826141,0.6,True,
N1,2020,c42,0.0,0.0,0.483480214640359,0.0,0.483480214640359,0.5,True,
N1,2020,c43,0.0,0.0,0.157372994855785,0.0,0.157372994855785,0.4,True,
N1,2020,c44,0.0,0.0,0.0172928773184193,0.0,0.0172928773184193,0.3,True,
N1,2021,c11,0.0,0.0,0.0488622113240881,0.0,0.0488622113240881,0.9,True,
N1,2021,c12,0.0,0.0,0.295690121603935,0.0,0.295690121603935,0.8,True,
N1,2021,c13,0.0,1.0,0.678599078750534,1.0,0.678599078750534,0.7,True,
N1,2021,c14,0.0,1.0,0.99004587300962,1.0,0.99004587300962,0.6,True,
N1,2021,c21,0.0,0.0,0.186914636667289,0.0,0.186914636667289,0.8,True,
N1,2021,c22,1.0,0.0,0.438295068763865,-1.0,-0.5617049312361351,0.7,True,
N1,2021,c23,2.0,1.0,0.466146482023898,-1.0,-1.533853517976102,0.5,True,
N1,2021,c24,3.0,0.0,0.433075217388669,-3.0,-2.566924782611331,0.4,True,
N1,2021,c31,1.0,1.0,0.498654583394116,0.0,-0.5013454166058839,0.6,True,
N1,2021,c32,1.0,0.0,0.599928621365529,-1.0,-0.40007137863447095,0.5,True,
N1,2021,c33,3.0,0.0,0.451274620261315,-3.0,-2.548725379738685,0.4,True,
N1,2021,c34,0.0,0.0,0.207989441688215,0.0,0.207989441688215,0.3,True,
N1,2021,c41,0.0,1.0,1.18438583229333,1.0,1.18438583229333,0.5,True,
N1,2021,c42,0.0,0.0,0.493505969929069,0.0,0.493505969929069,0.4,True,
N1,2021,c43,0.0,0.0,0.161487133982669,0.0,0.161487133982669,0.3,True,
N1,2021,c44,0.0,0.0,0.0184854000485927,0.0,0.0184854000485927,0.2,True,
N1,2022,c11,0.0,0.0,0.0462447966194124,0.0,0.0462447966194124,0.9,True,
N1,2022,c12,0.0,0.0,0.284703967116608,0.0,0.284703967116608,0.8,True,
N1,2022,c13,0.0,0.0,0.654146631400997,0.0,0.654146631400997,0.7,True,
N1,2022,c14,0.0,1.0,0.956043401295491,1.0,0.956043401295491,0.6,True,
N1,2022,c21,0.0,0.0,0.180054691493241,0.0,0.180054691493241,0.7,True,
N1,2022,c22,0.0,0.0,0.438721538981224,0.0,0.438721538981224,0.6,True,
N1,2022,c23,1.0,1.0,0.474970298856096,0.0,-0.525029701143904,0.5,True,
N1,2022,c24,1.0,0.0,0.459413992222679,-1.0,-0.540586007777321,0.4,True,
N1,2022,c31,1.0,1.0,0.499652635579034,0.0,-0.500347364420966,0.5,True,
N1,2022,c32,0.0,0.0,0.611486417543256,0.0,0.611486417543256,0.4,True,
N1,2022,c33,1.0,0.0,0.460967772505737,-1.0,-0.5390322274942629,0.3,True,
N1,2022,c34,2.0,0.0,0.214246486705192,-2.0,-1.785753513294808,0.2,True,
N1,2022,c41,2.0,1.0,1.1866534395556,-1.0,-0.8133465604443999,0.4,True,
N1,2022,c42,1.0,0.0,0.503739625698638,-1.0,-0.49626037430136205,0.3,True,
N1,2022,c43,0.0,0.0,0.165708827399734,0.0,0.165708827399734,0.2,True,
N1,2022,c44,0.0,0.0,0.0197601595538149,0.0,0.0197601595538149,0.1,True,
N1,2023,c11,0.0,0.0,0.0437675896448128,0.0,0.0437675896448128,0.95,True,
N1,2023,c12,0.0,0.0,0.274125995323261,0.0,0.274125995323261,0.95,True,
N1,2023,c13,0.0,0.0,0.630575296626035,0.0,0.630575296626035,0.95,True,
N1,2023,c14,0.0,1.0,0.923208722018246,1.0,0.923208722018246,0.85,True,
N1,2023,c21,0.0,0.0,0.173446512840157,0.0,0.173446512840157,0.95,True,
N1,2023,c22,0.0,1.0,0.439148424162973,1.0,0.439148424162973,0.85,True,
N1,2023,c23,2.0,1.0,0.483961144179317,-1.0,-1.516038855820683,0.75,True,
N1,2023,c24,2.0,0.0,0.487354639045439,-2.0,-1.512645360954561,0.65,True,
N1,2023,c31,1.0,1.0,0.500652685355465,0.0,-0.49934731464453497,0.79,True,
N1,2023,c32,0.0,0.0,0.623266877964241,0.0,0.623266877964241,0.5,True,
N1,2023,c33,0.0,0.0,0.47086912879314,0.0,0.47086912879314,0.3,True,
N1,2023,c34,2.0,0.0,0.220691765374928,-2.0,-1.779308234625072,0.4,True,
N1,2023,c41,0.0,1.0,1.18892538834456,1.0,1.18892538834456,0.26,True,
N1,2023,c42,2.0,0.0,0.514185493106547,-2.0,-1.485814506893453,0.75,True,
N1,2023,c43,0.0,0.0,0.170040886855678,0.0,0.170040886855678,0.49,True,
N1,2023,c44,0.0,0.0,0.0211228269101996,0.0,0.0211228269101996,0.98,True,
N1,2024,c11,0.0,0.0,0.0414230798565693,0.0,0.0414230798565693,0.95,True,
N1,2024,c12,0.0,0.0,0.263941040488525,0.0,0.263941040488525,0.95,True,
N1,2024,c13,0.0,1.0,0.607853324664244,1.0,0.607853324664244,0.95,True,
N1,2024,c14,0.0,1.0,0.891501728117814,1.0,0.891501728117814,0.95,True,
N1,2024,c21,0.0,0.0,0.167080860636947,0.0,0.167080860636947,0.95,True,
N1,2024,c22,0.0,1.0,0.439575724712883,1.0,0.439575724712883,0.95,True,
N1,2024,c23,1.0,1.0,0.493122179722475,0.0,-0.506877820277525,0.95,True,
N1,2024,c24,1.0,1.0,0.516994580530726,0.0,-0.483005419469274,0.95,True,
N1,2024,c31,0.0,1.0,0.501654736721568,1.0,0.501654736721568,0.95,True,
N1,2024,c32,0.0,1.0,0.635274292318705,1.0,0.635274292318705,0.95,True,
N1,2024,c33,1.0,0.0,0.480983161241823,-1.0,-0.5190168387581771,0.95,True,
N1,2024,c34,0.0,0.0,0.227330940419673,0.0,0.227330940419673,0.95,True,
N1,2024,c41,1.0,1.0,1.19120168697242,0.0,0.19120168697242002,0.95,True,
N1,2024,c42,0.0,1.0,0.524847972709204,1.0,0.524847972709204,0.95,True,
N1,2024,c43,0.0,0.0,0.17448619760562,0.0,0.17448619760562,0.95,True,
N1,2024,c44,0.0,0.0,0.0225794642732081,0.0,0.0225794642732081,0.95,True,
N10,2019,c11,0.0,0.0,0.0652117396557111,0.0,0.0652117396557111,0.0,True,
N10,2019,c12,0.0,0.0,0.38129015416993,0.0,0.38129015416993,0.0,True,
N10,2019,c13,0.0,0.0,0.873015107595592,0.0,0.873015107595592,0.0,True,
N10,2019,c14,0.0,0.0,1.2692375654625,0.0,1.2692375654625,0.0,True,
N10,2019,c21,0.0,0.0,0.240798196404743,0.0,0.240798196404743,0.0,True,
N10,2019,c22,2.0,0.0,0.522942598930977,-2.0,-1.477057401069023,0.0,True,
N10,2019,c23,1.0,0.0,0.536743146557133,-1.0,-0.46325685344286704,0.0,True,
N10,2019,c24,1.0,0.0,0.46005922172107,-1.0,-0.5399407782789301,0.0,True,
N10,2019,c31,0.0,0.0,0.593738568677701,0.0,0.593738568677701,0.0,True,
N10,2019,c32,2.0,0.0,0.690330872733944,-2.0,-1.3096691272660559,0.0,True,
N10,2019,c33,0.0,0.0,0.517027664545739,0.0,0.517027664545739,0.0,True,
N10,2019,c34,1.0,0.0,0.234330398033602,-1.0,-0.765669601966398,0.0,True,
N10,2019,c41,1.0,0.0,1.41047043391832,-1.0,0.41047043391832005,0.0,True,
N10,2019,c42,0.0,0.0,0.56623561552265,0.0,0.56623561552265,0.0,True,
N10,2019,c43,0.0,0.0,0.183338921849972,0.0,0.183338921849972,0.0,True,
N10,2019,c44,0.0,0.0,0.0193391707484501,0.0,0.0193391707484501,0.0,True,
N10,2020,c11,0.0,0.0,0.0617185255406102,0.0,0.0617185255406102,0.0,True,
N10,2020,c12,0.0,0.0,0.367123591839456,0.0,0.367123591839456,0.0,True,
N10,2020,c13,0.0,0.0,0.841557128028132,0.0,0.841557128028132,0.0,True,
N10,2020,c14,0.0,0.0,1.22564643944027,0.0,1.22564643944027,0.0,True,
N10,2020,c21,0.0,0.0,0.231960673272263,0.0,0.231960673272263,0.0,True,
N10,2020,c22,0.0,0.0,0.523451432955647,0.0,0.523451432955647,0.0,True,
N10,2020,c23,0.0,0.0,0.546903307351643,0.0,0.546903307351643,0.0,True,
N10,2020,c24,3.0,0.0,0.488039110120794,-3.0,-2.511960889879206,0.0,True,
N10,2020,c31,0.0,0.0,0.594926930512671,0.0,0.594926930512671,0.0,True,
N10,2020,c32,1.0,0.0,0.703630294095255,-1.0,-0.296369705904745,0.0,True,
N10,2020,c33,1.0,0.0,0.528133159164775,-1.0,-0.471866840835225,0.0,True,
N10,2020,c34,1.0,0.0,0.241379870532981,-1.0,-0.758620129467019,0.0,True,
N10,2020,c41,0.0,0.0,1.41317089935109,0.0,1.41317089935109,0.0,True,
N10,2020,c42,1.0,0.0,0.577977439789865,-1.0,-0.42202256021013496,0.0,True,
N10,2020,c43,0.0,0.0,0.188131877798703,0.0,0.188131877798703,0.0,True,
N10,2020,c44,0.0,0.0,0.0206728065729329,0.0,0.0206728065729329,0.0,True,
N10,2021,c11,0.0,0.0,0.0584124333289943,0.0,0.0584124333289943,0.9,True,
N10,2021,c12,0.0,0.0,0.353483377976332,0.0,0.353483377976332,0.8,True,
N10,2021,c13,0.0,0.0,0.811232696402577,0.0,0.811232696402577,0.7,True,
N10,2021,c14,0.0,0.0,1.1835524218551,0.0,1.1835524218551,0.6,True,
N10,2021,c21,0.0,0.0,0.223447495655171,0.0,0.223447495655171,0.7,True,
N10,2021,c22,1.0,1.0,0.523960762086406,0.0,-0.47603923791359404,0.8,True,
N10,2021,c23,1.0,1.0,0.557255792664932,0.0,-0.44274420733506803,0.7,True,
N10,2021,c24,1.0,1.0,0.51772067977784,0.0,-0.48227932022216,0.6,True,
N10,2021,c31,0.0,0.0,0.596117670842025,0.0,0.596117670842025,0.5,True,
N10,2021,c32,0.0,0.0,0.717185932606243,0.0,0.717185932606243,0.4,True,
N10,2021,c33,2.0,0.0,0.539477194231819,-2.0,-1.4605228057681812,0.3,True,
N10,2021,c34,2.0,0.0,0.248641415656895,-2.0,-1.751358584343105,0.2,True,
N10,2021,c41,0.0,0.0,1.41587653505428,0.0,1.41587653505428,0.4,True,
N10,2021,c42,0.0,0.0,0.589962750043024,0.0,0.589962750043024,0.3,True,
N10,2021,c43,0.0,0.0,0.193050134073707,0.0,0.193050134073707,0.2,True,
N10,2021,c44,0.0,0.0,0.0220984103796772,0.0,0.0220984103796772,0.1,True,
N10,2022,c11,0.0,0.0,0.0552834394134891,0.0,0.0552834394134891,0.9,True,
N10,2022,c12,0.0,0.0,0.340349956480596,0.0,0.340349956480596,0.8,True,
N10,2022,c13,0.0,0.0,0.782000966772866,0.0,0.782000966772866,0.7,True,
N10,2022,c14,0.0,0.0,1.14290409550636,0.0,1.14290409550636,0.6,True,
N10,2022,c21,0.0,0.0,0.215246759764159,0.0,0.215246759764159,0.7,True,
N10,2022,c22,1.0,1.0,0.524470586805002,0.0,-0.475529413194998,0.8,True,
N10,2022,c23,5.0,1.0,0.567804243061485,-4.0,-4.432195756938515,0.7,True,
N10,2022,c24,3.0,0.0,0.549207423567525,-3.0,-2.450792576432475,0.5,True,
N10,2022,c31,0.0,0.0,0.597310794426295,0.0,0.597310794426295,0.6,True,
N10,2022,c32,0.0,0.0,0.731002724363449,0.0,0.731002724363449,0.5,True,
N10,2022,c33,1.0,0.0,0.551064893475917,-1.0,-0.44893510652408297,0.4,True,
N10,2022,c34,0.0,0.0,0.256121413286689,0.0,0.256121413286689,0.3,True,
N10,2022,c41,3.0,0.0,1.4185873509268,-3.0,-1.5814126490732,0.4,True,
N10,2022,c42,1.0,0.0,0.602196595363428,-1.0,-0.39780340463657204,0.3,True,
N10,2022,c43,0.0,0.0,0.198096966351193,0.0,0.198096966351193,0.2,True,
N10,2022,c44,0.0,0.0,0.0236223243121721,0.0,0.0236223243121721,0.1,True,
N10,2023,c11,0.0,0.0,0.0523220571238877,0.0,0.0523220571238877,0.9,True,
N10,2023,c12,0.0,0.0,0.327704497845156,0.0,0.327704497845156,0.8,True,
N10,2023,c13,0.0,0.0,0.75382256502421,0.0,0.75382256502421,0.7,True,
N10,2023,c14,0.0,0.0,1.10365180908323,0.0,1.10365180908323,0.6,True,
N10,2023,c21,0.0,0.0,0.207346998690328,0.0,0.207346998690328,0.7,True,
N10,2023,c22,0.0,1.0,0.524980907593652,1.0,0.524980907593652,0.5,True,
N10,2023,c23,2.0,1.0,0.578552368019044,-1.0,-1.4214476319809561,0.4,True,
N10,2023,c24,2.0,0.0,0.582609128596352,-2.0,-1.417390871403648,0.3,True,
N10,2023,c31,0.0,0.0,0.598506306035543,0.0,0.598506306035543,0.5,True,
N10,2023,c32,2.0,0.0,0.745085700558724,-2.0,-1.254914299441276,0.4,True,
N10,2023,c33,1.0,0.0,0.562901490681239,-1.0,-0.43709850931876104,0.3,True,
N10,2023,c34,1.0,0.0,0.2638264352327,-1.0,-0.7361735647673,0.2,True,
N10,2023,c41,0.0,0.0,1.42130335688652,0.0,1.42130335688652,0.4,True,
N10,2023,c42,0.0,0.0,0.614684129533361,0.0,0.614684129533361,0.3,True,
N10,2023,c43,0.0,0.0,0.203275735942058,0.0,0.203275735942058,0.2,True,
N10,2023,c44,0.0,0.0,0.0252513278702895,0.0,0.0252513278702895,0.1,True,
N10,2024,c11,0.0,0.0,0.0495193079648983,0.0,0.0495193079648983,0.9,True,
N10,2024,c12,0.0,0.0,0.315528872159759,0.0,0.315528872159759,0.8,True,
N10,2024,c13,0.0,0.0,0.726659535837541,0.0,0.726659535837541,0.7,True,
N10,2024,c14,0.0,0.0,1.06574761651635,0.0,1.06574761651635,0.6,True,
N10,2024,c21,0.0,0.0,0.199737166371252,0.0,0.199737166371252,0.7,True,
N10,2024,c22,1.0,1.0,0.525491724935042,0.0,-0.47450827506495796,0.5,True,
N10,2024,c23,0.0,1.0,0.589503947233092,1.0,0.589503947233092,0.4,True,
N10,2024,c24,1.0,1.0,0.618042259004658,0.0,-0.38195774099534197,0.3,True,
N10,2024,c31,1.0,0.0,0.599704210449375,-1.0,-0.40029578955062495,0.8,True,
N10,2024,c32,0.0,1.0,0.759439989311267,1.0,0.759439989311267,0.4,True,
N10,2024,c33,0.0,1.0,0.574992332051015,1.0,0.574992332051015,0.3,True,
N10,2024,c34,0.0,1.0,0.271763251008156,1.0,0.271763251008156,0.2,True,
N10,2024,c41,1.0,1.0,1.42402456287032,0.0,0.4240245628703201,0.6,True,
N10,2024,c42,0.0,1.0,0.627430613207237,1.0,0.627430613207237,0.5,True,
N10,2024,c43,3.0,1.0,0.208589892030602,-2.0,-2.791410107969398,0.4,True,
N10,2024,c44,0.0,1.0,0.0269926680705295,1.0,0.0269926680705295,0.3,True,
N11,2019,c11,0.0,0.0,0.0609642834765564,0.0,0.0609642834765564,0.0,True,
N11,2019,c12,0.0,0.0,0.356455465969151,0.0,0.356455465969151,0.0,True,
N11,2019,c13,0.0,0.0,0.816152747645844,0.0,0.816152747645844,0.0,True,
N11,2019,c14,0.0,0.0,1.18656792700935,0.0,1.18656792700935,0.0,True,
N11,2019,c21,0.0,0.0,0.225114213848098,0.0,0.225114213848098,0.0,True,
N11,2019,c22,0.0,0.0,0.488881618731715,0.0,0.488881618731715,0.0,True,
N11,2019,c23,1.0,0.0,0.501783291069466,-1.0,-0.49821670893053405,0.0,True,
N11,2019,c24,1.0,0.0,0.430094043757824,-1.0,-0.569905956242176,0.0,True,
N11,2019,c31,1.0,0.0,0.555066412933245,-1.0,-0.444933587066755,0.0,True,
N11,2019,c32,5.0,0.0,0.645367340913822,-5.0,-4.354632659086178,0.0,True,
N11,2019,c33,0.0,0.0,0.483351943576433,0.0,0.483351943576433,0.0,True,
N11,2019,c34,0.0,0.0,0.219067684565959,0.0,0.219067684565959,0.0,True,
N11,2019,c41,0.0,0.0,1.31860183185847,0.0,1.31860183185847,0.0,True,
N11,2019,c42,0.0,0.0,0.529354818035774,0.0,0.529354818035774,0.0,True,
N11,2019,c43,0.0,0.0,0.171397451792547,0.0,0.171397451792547,0.0,True,
N11,2019,c44,0.0,0.0,0.0180795466266446,0.0,0.0180795466266446,0.0,True,
N11,2020,c11,0.0,0.0,0.057698593944554,0.0,0.057698593944554,0.0,True,
N11,2020,c12,0.0,0.0,0.343211618674737,0.0,0.343211618674737,0.0,True,
N11,2020,c13,0.0,0.0,0.786743730280634,0.0,0.786743730280634,0.0,True,
N11,2020,c14,0.0,0.0,1.14581603512743,0.0,1.14581603512743,0.0,True,
N11,2020,c21,0.0,0.0,0.216852307812105,0.0,0.216852307812105,0.0,True,
N11,2020,c22,1.0,0.0,0.489357310714267,-1.0,-0.510642689285733,0.0,True,
N11,2020,c23,0.0,0.0,0.511281687004217,0.0,0.511281687004217,0.0,True,
N11,2020,c24,2.0,0.0,0.456251509530841,-2.0,-1.543748490469159,0.0,True,
N11,2020,c31,0.0,0.0,0.556177372833446,0.0,0.556177372833446,0.0,True,
N11,2020,c32,2.0,0.0,0.657800526996968,-2.0,-1.342199473003032,0.0,True,
N11,2020,c33,0.0,0.0,0.493734100618658,0.0,0.493734100618658,0.0,True,
N11,2020,c34,0.0,0.0,0.225658001617479,0.0,0.225658001617479,0.0,True,
N11,2020,c41,0.0,0.0,1.32112640705047,0.0,1.32112640705047,0.0,True,
N11,2020,c42,0.0,0.0,0.540331858472629,0.0,0.540331858472629,0.0,True,
N11,2020,c43,0.0,0.0,0.175878226675901,0.0,0.175878226675901,0.0,True,
N11,2020,c44,0.0,0.0,0.0193263183411781,0.0,0.0193263183411781,0.0,True,
N11,2021,c11,0.0,0.0,0.0546078384478796,0.0,0.0546078384478796,0.1,True,
N11,2021,c12,0.0,0.0,0.330459837032005,0.0,0.330459837032005,0.2,True,
N11,2021,c13,0.0,0.0,0.758394429132617,0.0,0.758394429132617,0.3,True,
N11,2021,c14,0.0,0.0,1.10646374006095,0.0,1.10646374006095,0.4,True,
N11,2021,c21,0.0,0.0,0.208893621595869,0.0,0.208893621595869,0.5,True,
N11,2021,c22,0.0,0.0,0.489833465555012,0.0,0.489833465555012,0.6,True,
N11,2021,c23,1.0,0.0,0.520959880726059,-1.0,-0.47904011927394097,0.7,True,
N11,2021,c24,0.0,0.0,0.483999820435514,0.0,0.483999820435514,0.8,True,
N11,2021,c31,0.0,0.0,0.557290556308829,0.0,0.557290556308829,0.9,True,
N11,2021,c32,0.0,0.0,0.670473241959836,0.0,0.670473241959836,0.1,True,
N11,2021,c33,0.0,0.0,0.504339261180951,0.0,0.504339261180951,0.2,True,
N11,2021,c34,1.0,0.0,0.232446578302435,-1.0,-0.767553421697565,0.3,True,
N11,2021,c41,1.0,0.0,1.32365581575608,-1.0,0.32365581575608005,0.4,True,
N11,2021,c42,0.0,0.0,0.551536525848253,0.0,0.551536525848253,0.5,True,
N11,2021,c43,1.0,0.0,0.180476140661063,-1.0,-0.819523859338937,0.6,True,
N11,2021,c44,1.0,0.0,0.0206590678592628,-1.0,-0.9793409321407373,0.7,True,
N11,2022,c11,0.0,0.0,0.0516826462498431,0.0,0.0516826462498431,0.9,True,
N11,2022,c12,0.0,0.0,0.31818183869443,0.0,0.31818183869443,0.8,True,
N11,2022,c13,0.0,0.0,0.731066658687228,0.0,0.731066658687228,0.7,True,
N11,2022,c14,0.0,0.0,1.06846297358155,0.0,1.06846297358155,0.6,True,
N11,2022,c21,0.0,0.0,0.201227026743232,0.0,0.201227026743232,0.7,True,
N11,2022,c22,1.0,0.0,0.490310083704319,-1.0,-0.509689916295681,0.6,True,
N11,2022,c23,3.0,1.0,0.530821275677474,-2.0,-2.469178724322526,0.5,True,
N11,2022,c24,2.0,2.0,0.513435728514068,0.0,-1.486564271485932,0.4,True,
N11,2022,c31,1.0,0.0,0.558405967809856,-1.0,-0.44159403219014404,0.5,True,
N11,2022,c32,0.0,1.0,0.683390100394682,1.0,0.683390100394682,0.4,True,
N11,2022,c33,1.0,0.0,0.515172215266948,-1.0,-0.484827784733052,0.3,True,
N11,2022,c34,1.0,0.0,0.239439378959406,-1.0,-0.760560621040594,0.2,True,
N11,2022,c41,3.0,1.0,1.32619006722947,-2.0,-1.67380993277053,0.3,True,
N11,2022,c42,0.0,0.0,0.562973540380592,0.0,0.562973540380592,0.2,True,
N11,2022,c43,1.0,0.0,0.185194256068621,-1.0,-0.814805743931379,0.1,True,
N11,2022,c44,0.0,0.0,0.0220837242396169,0.0,0.0220837242396169,0.1,True,
N11,2023,c11,0.0,0.0,0.0489141485784287,0.0,0.0489141485784287,0.9,True,
N11,2023,c12,0.0,0.0,0.306360020582965,0.0,0.306360020582965,0.8,True,
N11,2023,c13,0.0,0.0,0.704723609395935,0.0,0.704723609395935,0.7,True,
N11,2023,c14,0.0,0.0,1.03176731833241,0.0,1.03176731833241,0.6,True,
N11,2023,c21,0.0,0.0,0.193841803222976,0.0,0.193841803222976,0.5,True,
N11,2023,c22,1.0,0.0,0.490787165612998,-1.0,-0.5092128343870019,0.4,True,
N11,2023,c23,2.0,0.0,0.540869339725658,-2.0,-1.459130660274342,0.3,True,
N11,2023,c24,2.0,0.0,0.544661870075826,-2.0,-1.4553381299241739,0.2,True,
N11,2023,c31,0.0,0.0,0.5595236117959,0.0,0.5595236117959,0.1,True,
N11,2023,c32,0.0,0.0,0.6965558057952,0.0,0.6965558057952,0.05,True,
N11,2023,c33,0.0,0.0,0.526237855767153,0.0,0.526237855767153,0.01,True,
N11,2023,c34,0.0,0.0,0.246642547355,0.0,0.246642547355,0.02,True,
N11,2023,c41,0.0,0.0,1.32872917074254,0.0,1.32872917074254,0.03,True,
N11,2023,c42,0.0,0.0,0.574647720169052,0.0,0.574647720169052,0.04,True,
N11,2023,c43,0.0,0.0,0.190035715276182,0.0,0.190035715276182,0.05,True,
N11,2023,c44,0.0,0.0,0.0236066254108739,0.0,0.0236066254108739,0.06,True,
N11,2024,c11,0.0,0.0,0.0462939517374241,0.0,0.0462939517374241,0.9,True,
N11,2024,c12,0.0,0.0,0.294977433648345,0.0,0.294977433648345,0.8,True,
N11,2024,c13,0.0,0.0,0.679329798095073,0.0,0.679329798095073,0.7,True,
N11,2024,c14,0.0,0.0,0.996331951130164,0.0,0.996331951130164,0.6,True,
N11,2024,c21,0.0,0.0,0.18672762443924,0.0,0.18672762443924,0.7,True,
N11,2024,c22,0.0,0.0,0.491264711732297,0.0,0.491264711732297,0.6,True,
N11,2024,c23,1.0,0.0,0.551107606382031,-1.0,-0.44889239361796895,0.5,True,
N11,2024,c24,2.0,0.0,0.57778712356666,-2.0,-1.4222128764333402,0.4,True,
N11,2024,c31,0.0,0.0,0.560643492735257,0.0,0.560643492735257,0.5,True,
N11,2024,c32,0.0,0.0,0.709975152269233,0.0,0.709975152269233,0.4,True,
N11,2024,c33,0.0,0.0,0.537541180668906,0.0,0.537541180668906,0.3,True,
N11,2024,c34,0.0,0.0,0.254062412081669,0.0,0.254062412081669,0.2,True,
N11,2024,c41,1.0,0.0,1.33127313558492,-1.0,0.3312731355849201,0.3,True,
N11,2024,c42,1.0,0.0,0.586563983224234,-1.0,-0.413436016775766,0.2,True,
N11,2024,c43,0.0,0.0,0.195003742811272,0.0,0.195003742811272,0.1,True,
N11,2024,c44,0.0,0.0,0.0252345463673922,0.0,0.0252345463673922,0.1,True,
N12,2019,c11,0.0,0.0,0.06250338811026,0.0,0.06250338811026,0.9,True,
N12,2019,c12,0.0,0.0,0.365454542610364,0.0,0.365454542610364,0.8,True,
N12,2019,c13,0.0,0.0,0.836757344371643,0.0,0.836757344371643,0.7,True,
N12,2019,c14,0.0,0.0,1.21652402737698,0.0,1.21652402737698,0.6,True,
N12,2019,c21,0.0,0.0,0.230797448520731,0.0,0.230797448520731,0.7,True,
N12,2019,c22,0.0,1.0,0.501223926749029,1.0,0.501223926749029,0.5,True,
N12,2019,c23,1.0,1.0,0.514451314777103,0.0,-0.48554868522289696,0.4,True,
N12,2019,c24,3.0,1.0,0.440952200336185,-2.0,-2.559047799663815,0.3,True,
N12,2019,c31,1.0,0.0,0.569079622626546,-1.0,-0.430920377373454,0.5,True,
N12,2019,c32,1.0,1.0,0.661660288328245,0.0,-0.33833971167175503,0.4,True,
N12,2019,c33,1.0,1.0,0.495554649384568,0.0,-0.504445350615432,0.3,True,
N12,2019,c34,0.0,0.0,0.224598268527302,0.0,0.224598268527302,0.2,True,
N12,2019,c41,1.0,1.0,1.35189126090923,0.0,0.35189126090922995,0.6,True,
N12,2019,c42,0.0,1.0,0.542718912663829,1.0,0.542718912663829,0.5,True,
N12,2019,c43,0.0,0.0,0.175724552796865,0.0,0.175724552796865,0.4,True,
N12,2019,c44,0.0,0.0,0.0185359829595514,0.0,0.0185359829595514,0.3,True,
N12,2020,c11,0.0,0.0,0.059155252962492,0.0,0.059155252962492,0.0,True,
N12,2020,c12,0.0,0.0,0.351876341074802,0.0,0.351876341074802,0.0,True,
N12,2020,c13,0.0,0.0,0.806605866793366,0.0,0.806605866793366,0.0,True,
N12,2020,c14,0.0,0.0,1.17474331300997,0.0,1.17474331300997,0.0,True,
N12,2020,c21,0.0,0.0,0.222326962359818,0.0,0.222326962359818,0.0,True,
