region,year,model_label,model_name,endpoint_port,version,few_shot,correct %,MAE,confidence,parse_ok,parse_error,raw_response (first 100 char)
N10,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.5,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N10,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.5625,0.525,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N11,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.5,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N11,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.3125,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N11,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.45625,True,nan,"```json
{""c11"": [0.0, 0.1], ""c12"": [0.0, 0.2], ""c13"": [0.0, 0.3], ""c14"": [0.0, 0.4], ""c21"": [0.0, 0...."
N11,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.625,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N11,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.3125,0.2975,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N11,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.3125,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N12,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.3125,0.50625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N12,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.125,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N12,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.3125,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N12,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5625,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N12,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.1875,0.50625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N12,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.4375,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N15,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.5,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N15,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.4375,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N15,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.5,0.475,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N15,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.4375,0.475,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N15,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,93.75,0.0625,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N15,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.25,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N17,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.5,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N17,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N17,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.125,0.53125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N17,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.4375,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N17,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.3125,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N17,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.125,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N18,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.375,0.28125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N18,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.375,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N18,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.3125,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N18,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.6875,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N18,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.28125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N18,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.25,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N2,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5625,0.53125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N2,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.625,0.50625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N2,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.375,0.50625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N2,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.4375,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N2,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.5,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N2,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5625,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N20,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.6875,0.28125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N20,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.375,0.55,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N20,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.55,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [1.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N20,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.5,0.45625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N20,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.25,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N20,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.5625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N3,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,1.0,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N3,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,43.75,0.5625,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N3,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.25,0.4875,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N3,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.4375,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N3,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.6875,0.4875,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N3,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.5,0.4875,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N4,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N4,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N4,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.4375,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N4,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.375,0.44375000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N4,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.4375,0.4875,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N4,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.5625,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N5,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.4375,0.50625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N5,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.375,0.0,True,nan,"```json
{""c11"": [0.0, 0.0], ""c12"": [0.0, 0.0], ""c13"": [0.0, 0.0], ""c14"": [0.0, 0.0], ""c21"": [0.0, 0...."
N5,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5625,0.50625,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N5,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.75,0.475,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N5,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.125,0.905,True,nan,"```json
{""c11"": [0.0, 0.98], ""c12"": [0.0, 0.97], ""c13"": [0.0, 0.96], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N5,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.1875,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N6,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.375,0.728125,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.88], ""c13"": [0.0, 0.77], ""c14"": [1.0, 0.65], ""c21"": [0.0..."
N6,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.5625,0.5375000000000001,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [1.0, 0.6], ""c21"": [0.0, 0...."
N6,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.7124999999999999,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.88], ""c13"": [0.0, 0.77], ""c14"": [1.0, 0.65], ""c21"": [0.0..."
N6,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.6875,0.9375,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [1.0, 0.85], ""c21"": [0.0..."
N6,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,43.75,0.75,0.91875,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [1.0, 0.85], ""c21"": [0.0..."
N6,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.25,0.9375,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [1.0, 0.85], ""c21"": [0.0..."
N7,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.4375,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N7,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.5,0.6125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N7,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.3125,0.6125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N7,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,50.0,0.625,0.6125,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N7,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.625,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N7,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.125,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N8,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.75,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N8,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.375,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N8,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.25,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N8,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,43.75,0.75,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N8,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,81.25,0.3125,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N8,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,87.5,0.125,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N9,2019,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,62.5,0.6875,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N9,2020,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.5625,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N9,2021,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,56.25,0.5,0.45625000000000004,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N9,2022,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,43.75,0.6875,0.47500000000000003,True,nan,"```json
{""c11"": [0.0, 0.9], ""c12"": [0.0, 0.8], ""c13"": [0.0, 0.7], ""c14"": [0.0, 0.6], ""c21"": [0.0, 0...."
N9,2023,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,68.75,0.625,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
N9,2024,gemma-3-12b-it,gemma-3-12b-it,8002,v1,True,75.0,0.375,0.95,True,nan,"```json
{""c11"": [0.0, 0.95], ""c12"": [0.0, 0.95], ""c13"": [0.0, 0.95], ""c14"": [0.0, 0.95], ""c21"": [0.0..."
