,source_dataset,time_raw,time,net_flow,injection_pressure,tl_interval_pressure,tl_bottom_pressure,tn_interval_pressure,tn_bottom_pressure,tc_interval_pressure,tc_bottom_pressure,tu_interval_pressure,tu_bottom_pressure,ts_interval_pressure,ts_bottom_pressure,flag_duplicate_timestamp,flag_time_gap_gt_expected,tc_injecting,tc_producing,delta_P_delta_Q
16,ftes_1hour,12/11/2024 13:00,2024-12-11T13:00:00,-1.77353423,-1.779475105,-0.342472445,-0.260597193,-0.412207735,-0.004422725,-1.781929806,-0.144673814,-3.298526099,-0.387403294,-0.40519774,-0.367783678,FALSE,FALSE,0,0,-0.018868978
17,ftes_1hour,12/11/2024 14:00,2024-12-11T14:00:00,-1.773746448,-1.779406556,-0.34239887,-0.259835176,-0.412244424,-0.003851043,-1.781861797,-0.144480069,-3.298673967,-0.3871952,-0.405213524,-0.3676369,FALSE,FALSE,0,0,-0.012329338
18,ftes_1hour,12/11/2024 15:00,2024-12-11T15:00:00,-1.775312486,-1.778874325,-0.342448425,-0.250471941,-0.412277458,-0.004029743,-1.782154502,-0.141722193,-3.140488352,-0.387029562,-0.405077235,-0.368044974,FALSE,FALSE,0,0,-0.012941182
19,ftes_1hour,12/11/2024 16:00,2024-12-11T16:00:00,-1.773754165,-1.779168251,-0.342334415,-0.259796721,-0.412181139,-0.003831224,-1.781862479,-0.143933789,-1.869203023,-0.388573326,-0.405218425,-0.36761495,FALSE,FALSE,0,0,-0.007448394
20,ftes_1hour,12/11/2024 17:00,2024-12-11T17:00:00,-1.773004155,-1.779093571,-0.342451195,-0.255469271,-0.412237232,-0.00355077,-1.782012293,-0.143937656,-0.265831173,-0.388342558,-0.40505246,-0.366960735,FALSE,FALSE,0,0,0.003018005
21,ftes_1hour,12/11/2024 18:00,2024-12-11T18:00:00,-1.773410963,-1.778706803,-0.342291369,-0.253365662,-0.412189513,-0.004293841,-1.781906589,-0.145976549,1.124124447,-0.387914024,-0.404969468,-0.366394433,FALSE,FALSE,0,0,-0.035127107
22,ftes_1hour,12/11/2024 19:00,2024-12-11T19:00:00,-1.772618463,-1.760271552,-0.270545072,-0.141574219,-0.411491823,0.001270736,-1.763240489,-0.120945524,1.773070829,-0.387206199,-0.405163969,-0.367209232,FALSE,FALSE,0,0,0.844235397
23,ftes_1hour,12/11/2024 20:00,2024-12-11T20:00:00,-0.271711437,-1.735637128,-0.233092783,0.083679219,-0.407526469,0.021236416,-1.738103403,-0.039189544,2.278876466,-0.386684954,-0.405307331,-0.368002956,FALSE,FALSE,0,0,-2.13E-06
24,ftes_1hour,12/11/2024 21:00,2024-12-11T21:00:00,0.658015039,-1.778759965,-0.340500899,-0.213936999,-0.408591266,0.03733276,-1.780899782,-0.1347188,3.753817459,-0.385674751,-0.405418759,-0.367353792,FALSE,FALSE,0,0,-0.002282732
25,ftes_1hour,12/11/2024 22:00,2024-12-11T22:00:00,0.4809715,-1.778547742,-0.340475116,-0.216987825,-0.406153009,0.07247203,-1.780862593,-0.134337981,3.726710639,-0.386182659,-0.405404758,-0.367369329,FALSE,FALSE,0,0,-0.000641757
26,ftes_1hour,12/11/2024 23:00,2024-12-11T23:00:00,-1.77410962,-1.768554288,-0.33961323,-0.203322106,1.208071008,0.018716724,-1.770797389,-0.130169088,2.286825088,-0.382491751,-0.405198162,-0.367620869,FALSE,FALSE,0,0,-0.000759166
27,ftes_1hour,12/12/2024 0:00,2024-12-12T00:00:00,-1.773879574,-1.591341409,-0.336699061,-0.197202724,1.960431596,0.012802638,-1.593683295,-0.112366522,1.529104286,-0.379908877,-0.405140909,-0.367412543,FALSE,FALSE,0,0,27.97656776
28,ftes_1hour,12/12/2024 1:00,2024-12-12T01:00:00,-1.77368998,-1.421222748,-0.305347574,-0.188201104,1.953474589,0.018584713,-1.424389826,-0.070187994,1.252213515,-0.378306903,-0.40510602,-0.367405775,FALSE,FALSE,0,0,32.58661265
29,ftes_1hour,12/12/2024 2:00,2024-12-12T02:00:00,-1.773471053,-1.356269088,-0.138485801,-0.164394794,1.9280647,0.033663889,-1.35988862,-0.033800749,1.083416917,-0.37651714,-0.405104029,-0.366970709,FALSE,FALSE,0,0,10.77460754
30,ftes_1hour,12/12/2024 3:00,2024-12-12T03:00:00,-1.773429807,-1.337062637,0.110894411,-0.090340822,1.895888439,0.032990632,-1.340794669,-0.002441211,0.955021532,-0.37496708,-0.40517342,-0.368094664,FALSE,FALSE,0,0,16.91110451
31,ftes_1hour,12/12/2024 4:00,2024-12-12T04:00:00,-1.773169119,-1.333443802,0.215776899,0.149811091,1.860003949,0.033497348,-1.337335922,0.023391791,0.846784855,-0.372973445,-0.405186126,-0.368849046,FALSE,FALSE,0,0,0.503562484
32,ftes_1hour,12/12/2024 5:00,2024-12-12T05:00:00,-1.773269011,-1.340133747,0.236427554,0.669785005,1.821580839,0.033565833,-1.343988514,0.050337211,0.751471643,-0.371238273,-0.405215109,-0.368665456,FALSE,FALSE,0,0,2.43167691
33,ftes_1hour,12/12/2024 6:00,2024-12-12T06:00:00,-1.773423525,-1.351491495,0.267868422,1.343282436,1.781513798,0.033125811,-1.355460547,0.077355517,0.665024466,-0.369076228,-0.405176742,-0.368399749,FALSE,FALSE,0,0,2.66898759
34,ftes_1hour,12/12/2024 7:00,2024-12-12T07:00:00,-1.773532161,-1.365609709,0.294346689,2.069803034,1.741119351,0.033760273,-1.369429475,0.104658075,0.58494297,-0.3666315,-0.405190705,-0.368206121,FALSE,FALSE,0,0,4.719275566
35,ftes_1hour,12/12/2024 8:00,2024-12-12T08:00:00,-1.773824731,-1.380677356,0.317977976,2.761175868,1.700532073,0.033180884,-1.384421705,0.134751993,0.509028655,-0.364460283,-0.405119673,-0.367391936,FALSE,FALSE,0,0,1.869811035
36,ftes_1hour,12/12/2024 9:00,2024-12-12T09:00:00,-1.774156483,-1.396290163,0.333688586,3.399013899,1.660226845,0.03160603,-1.400187035,0.166211666,0.438105563,-0.362308147,-0.405122054,-0.36824991,FALSE,FALSE,0,0,1.708585365
37,ftes_1hour,12/12/2024 10:00,2024-12-12T10:00:00,-1.773932737,-1.411755395,0.341653901,3.984700284,1.620525738,0.032340852,-1.415487178,0.196217795,0.369600224,-0.359997983,-0.405176345,-0.368629495,FALSE,FALSE,0,0,-2.51087769
38,ftes_1hour,12/12/2024 11:00,2024-12-12T11:00:00,-1.773885184,-1.426364264,0.340935527,4.529092924,1.581078608,0.033113427,-1.429961222,0.228427894,0.30329462,-0.358006526,-0.405213603,-0.3689025,FALSE,FALSE,0,0,-11.15801712
39,ftes_1hour,12/12/2024 12:00,2024-12-12T12:00:00,-1.773597978,-1.440851974,0.336056636,5.027972844,1.542022228,0.032727085,-1.444137729,0.260340092,0.240066803,-0.355669124,-0.405267182,-0.368531712,FALSE,FALSE,0,0,-1.832602818
40,ftes_1hour,12/12/2024 13:00,2024-12-12T13:00:00,-0.87810105,-1.57662279,0.068768609,3.205731797,0.766605777,0.03414522,-1.579584555,0.126544068,1.297983911,-0.367174408,-0.405281164,-0.368187048,FALSE,FALSE,1,0,-0.006104573
41,ftes_1hour,12/12/2024 14:00,2024-12-12T14:00:00,0.657095565,-1.778475069,-0.340194261,-0.210325781,-0.411324214,0.03614403,-1.781125647,-0.13304741,3.793357737,-0.389834849,-0.405285178,-0.368131923,FALSE,FALSE,1,0,-0.005373418
42,ftes_1hour,12/12/2024 15:00,2024-12-12T15:00:00,0.657961486,-1.778373012,-0.340417343,-0.21557647,-0.408560343,0.045391003,-1.781023234,-0.132700744,3.723876086,-0.389603353,-0.405300944,-0.369987543,FALSE,FALSE,1,0,0.003682193
43,ftes_1hour,12/12/2024 16:00,2024-12-12T16:00:00,-0.088662503,-1.778221716,-0.340685609,-0.220481399,0.280009019,0.043437511,-1.780964104,-0.132661217,2.592045176,-0.387710616,-0.405265885,-0.370025213,FALSE,FALSE,1,0,-0.000605582
44,ftes_1hour,12/12/2024 17:00,2024-12-12T17:00:00,0.634375162,-1.778754281,-0.341697986,-0.239418028,2.344054546,0.019081068,-1.781245549,-0.136507244,-3.376487913,-0.390307862,-0.405401062,-0.36984176,FALSE,FALSE,1,0,-0.000624973
45,ftes_1hour,12/12/2024 18:00,2024-12-12T18:00:00,0.658104856,-1.77906147,-0.340571593,-0.219710254,2.332157601,0.02912564,-1.780921392,-0.134044289,-3.378645933,-0.390658924,-0.4054794,-0.369177433,FALSE,FALSE,1,0,-0.001068371
46,ftes_1hour,12/12/2024 19:00,2024-12-12T19:00:00,0.658334444,-1.779216959,-0.34061106,-0.222804639,2.336371059,0.024857422,-1.781451479,-0.138791611,-3.379821305,-0.390675469,-0.405489162,-0.368638967,FALSE,FALSE,1,0,-0.025194631
47,ftes_1hour,12/12/2024 20:00,2024-12-12T20:00:00,0.658018845,-1.779465074,-0.340669623,-0.224211597,2.338889419,0.022640152,-1.781323203,-0.137891459,-3.381517906,-0.39097858,-0.405495037,-0.368689553,FALSE,FALSE,1,0,0.027953849
48,ftes_1hour,12/12/2024 21:00,2024-12-12T21:00:00,0.658411037,-1.652458587,-0.340853261,-0.222805416,2.338521567,0.01998541,-1.655387466,-0.1347572,-3.382204803,-0.390843293,-0.405476313,-0.368068609,FALSE,FALSE,1,0,11.76052864
49,ftes_1hour,12/12/2024 22:00,2024-12-12T22:00:00,0.657869547,-1.704477855,-0.340569617,-0.21652309,2.335890228,0.02239427,-1.706116655,-0.138762087,-3.382537704,-0.390696101,-0.405508115,-0.368703028,FALSE,FALSE,1,0,3.488352954
50,ftes_1hour,12/12/2024 23:00,2024-12-12T23:00:00,0.658353865,-1.779812716,-0.340359957,-0.203235145,2.335546298,0.024638885,-1.781978164,-0.145364615,-3.381850361,-0.389029248,-0.405454929,-0.368037918,FALSE,FALSE,1,0,-5.64979608
51,ftes_1hour,12/13/2024 0:00,2024-12-13T00:00:00,0.658028177,-1.779647871,-0.340391083,-0.208419622,2.335806706,0.025232687,-1.782072729,-0.142632836,-3.382442919,-0.387877781,-0.405472256,-0.367847628,FALSE,FALSE,1,0,-0.018980305
52,ftes_1hour,12/13/2024 1:00,2024-12-13T01:00:00,0.657842045,-1.779630149,-0.340447262,-0.211907741,2.335717785,0.024512827,-1.782325735,-0.143125658,-3.382591774,-0.388021728,-0.40551393,-0.368083831,FALSE,FALSE,1,0,-0.004056214
53,ftes_1hour,12/13/2024 2:00,2024-12-13T02:00:00,0.658382938,-0.432324705,-0.340375911,-0.213777633,2.337601992,0.027016884,-0.440227555,-0.132658402,-3.383048935,-0.389272042,-0.405456914,-0.368975189,FALSE,FALSE,1,0,90.46342818
54,ftes_1hour,12/13/2024 3:00,2024-12-13T03:00:00,0.658233588,-0.18949774,-0.340313994,-0.21458726,2.33805515,0.02733817,-0.197867367,-0.130523706,-3.383319918,-0.389176487,-0.405409864,-0.368666105,FALSE,FALSE,1,0,-59.04947165
55,ftes_1hour,12/13/2024 4:00,2024-12-13T04:00:00,0.658053568,-0.190370153,-0.340316917,-0.215310419,2.337090321,0.027809172,-0.198609352,-0.129853272,-3.383022101,-0.388486245,-0.405413116,-0.36860053,FALSE,FALSE,1,0,0.175405891
56,ftes_1hour,12/13/2024 5:00,2024-12-13T05:00:00,0.658026579,-0.189920069,-0.340351369,-0.216835427,2.338232402,0.02825149,-0.19840224,-0.129765307,-3.383298463,-0.388774974,-0.405383387,-0.368596776,FALSE,FALSE,1,0,-0.606261522
57,ftes_1hour,12/13/2024 6:00,2024-12-13T06:00:00,0.658046604,-0.189499189,-0.340266622,-0.218701174,2.339189729,0.027460288,-0.198148023,-0.129717371,-3.383368316,-0.388523264,-0.405453552,-0.368466667,FALSE,FALSE,1,0,0.762711091
58,ftes_1hour,12/13/2024 7:00,2024-12-13T07:00:00,0.658208953,-0.18916001,-0.340298057,-0.21818133,2.339481519,0.026372588,-0.197794174,-0.1290215,-3.383346204,-0.388805313,-0.405434693,-0.368238246,FALSE,FALSE,1,0,0.075277074
59,ftes_1hour,12/13/2024 8:00,2024-12-13T08:00:00,0.658072063,-0.188915128,-0.340512239,-0.217499528,2.339960644,0.026762479,-0.197359146,-0.128821833,-3.383191516,-0.388126855,-0.405500701,-0.368798397,FALSE,FALSE,1,0,-0.065566953
60,ftes_1hour,12/13/2024 9:00,2024-12-13T09:00:00,0.658238097,-0.188708924,-0.340629139,-0.216114118,2.34013188,0.026424741,-0.197218486,-0.127704007,-3.383273796,-0.387988054,-0.405532729,-0.368058465,FALSE,FALSE,1,0,0.044506486
61,ftes_1hour,12/13/2024 10:00,2024-12-13T10:00:00,0.658098744,-0.188905208,-0.340524634,-0.217270789,2.340131494,0.025610638,-0.197203088,-0.128506876,-3.383421341,-0.38788952,-0.405515679,-0.367714614,FALSE,FALSE,1,0,0.050557385
62,ftes_1hour,12/13/2024 11:00,2024-12-13T11:00:00,0.657995737,-0.1889236,-0.34058371,-0.216905463,2.339999143,0.024745284,-0.197242363,-0.128788062,-3.383802452,-0.388062476,-0.405450904,-0.368513992,FALSE,FALSE,1,0,0.005886064
63,ftes_1hour,12/13/2024 12:00,2024-12-13T12:00:00,0.658262889,-0.189348715,-0.340524733,-0.216192133,2.33954466,0.02573741,-0.197477975,-0.128599914,-3.383291766,-0.388103075,-0.405474781,-0.368516102,FALSE,FALSE,1,0,-0.058390546
64,ftes_1hour,12/13/2024 13:00,2024-12-13T13:00:00,0.658053361,-0.18980883,-0.340586209,-0.214091112,2.338350049,0.0247968,-0.198353835,-0.127894379,-3.383460767,-0.387834589,-0.405504074,-0.368192629,FALSE,FALSE,1,0,0.079154412
65,ftes_1hour,12/13/2024 14:00,2024-12-13T14:00:00,0.658325432,-0.190288228,-0.340562817,-0.212985762,2.33763144,0.024147113,-0.19866225,-0.129503795,-3.383611993,-0.388075179,-0.405554257,-0.367733458,FALSE,FALSE,1,0,-0.064591627
66,ftes_1hour,12/13/2024 15:00,2024-12-13T15:00:00,0.658053913,-1.024030589,-0.340810451,-0.219074421,2.334590132,0.021439934,-1.028083356,-0.131025882,-3.379771699,-0.389470549,-0.405515047,-0.36845691,FALSE,FALSE,1,0,111.5195805
67,ftes_1hour,12/13/2024 16:00,2024-12-13T16:00:00,-1.308570894,-0.603470182,-0.338857659,-0.216387637,2.156849403,0.078615012,-0.609888213,0.221689667,-0.8625017,-0.38995467,-0.405690304,-0.369077823,FALSE,FALSE,1,0,-0.008364776
68,ftes_1hour,12/13/2024 17:00,2024-12-13T17:00:00,-0.140810108,-0.088945079,-0.339551502,-0.224176282,0.545641223,0.062568475,-0.097825927,0.233230094,-2.312427828,-0.390169636,-0.40563911,-0.369203316,FALSE,FALSE,1,0,0.015403775
69,ftes_1hour,12/13/2024 18:00,2024-12-13T18:00:00,0.65797273,-0.005626014,-0.341377402,-0.241050621,-0.346281269,0.009712665,-0.014690808,-0.133357988,-3.385115249,-0.39060162,-0.405802958,-0.369867446,FALSE,FALSE,1,0,0.003190015
70,ftes_1hour,12/13/2024 19:00,2024-12-13T19:00:00,0.624138245,-0.965838266,-0.340860927,-0.224241126,1.148348879,0.02370698,-0.970167825,-0.130753485,-1.641743505,-0.390522601,-0.405760358,-0.370037005,FALSE,FALSE,1,0,1.030094404
71,ftes_1hour,12/13/2024 20:00,2024-12-13T20:00:00,-0.055574229,-1.380930014,-0.340329556,-0.220783117,2.348315977,0.02517051,-1.385499086,-0.126543962,-0.714285627,-0.390067716,-0.405623934,-0.370710794,FALSE,FALSE,1,0,0.021580696
72,ftes_1hour,12/13/2024 21:00,2024-12-13T21:00:00,0.657425363,0.041343375,-0.34115382,-0.235932906,-0.389871956,0.021878015,0.038644693,-0.126247646,-0.417612144,-0.391141421,-0.40619138,-0.368106292,FALSE,FALSE,1,0,0.071847927
73,ftes_1hour,12/13/2024 22:00,2024-12-13T22:00:00,0.658058616,0.067229077,-0.342352016,-0.250776468,-0.392708993,0.012505911,0.065263531,-0.128759149,-0.343888389,-0.392451501,-0.412362118,-0.519550789,FALSE,FALSE,1,0,1.483985385
74,ftes_1hour,12/13/2024 23:00,2024-12-13T23:00:00,0.657983422,0.081001976,-0.342657663,-0.258406842,-0.39481839,0.011113972,0.07682462,-0.127102178,-0.306061906,-0.39205315,-0.406091,-0.371846406,FALSE,FALSE,1,0,-6.652839664
75,ftes_1hour,12/14/2024 0:00,2024-12-14T00:00:00,0.658004886,0.08733346,-0.342674398,-0.261485402,-0.396265694,0.006441477,0.08308701,-0.132306118,-0.283188748,-0.391525399,-0.406014733,-0.372693482,FALSE,FALSE,1,0,10.71255082
76,ftes_1hour,12/14/2024 1:00,2024-12-14T01:00:00,0.658178124,0.100489757,-0.34255762,-0.263555321,-0.397543889,0.004423288,0.095825753,-0.13449343,-0.27122617,-0.391745689,-0.406070427,-0.372418969,FALSE,FALSE,1,0,2.757525866
77,ftes_1hour,12/14/2024 2:00,2024-12-14T02:00:00,0.657647108,0.112528315,-0.342547543,-0.263947213,-0.398481036,0.003615768,0.107437215,-0.132809738,-0.26674137,-0.391684018,-0.406082795,-0.37187918,FALSE,FALSE,1,0,-0.823956235
78,ftes_1hour,12/14/2024 3:00,2024-12-14T03:00:00,0.65821788,0.123175604,-0.342545789,-0.265209066,-0.39920244,0.004743136,0.118152658,-0.132326978,-0.268267656,-0.391572254,-0.406089597,-0.372292789,FALSE,FALSE,1,0,0.676883929
79,ftes_1hour,12/14/2024 4:00,2024-12-14T04:00:00,0.658203061,0.124946511,-0.342453673,-0.26665591,-0.399393642,0.004858652,0.120213106,-0.132914293,-0.271662325,-0.391512549,-0.40611441,-0.373702619,FALSE,FALSE,1,0,-4.340642661
80,ftes_1hour,12/14/2024 5:00,2024-12-14T05:00:00,0.65787295,0.132769356,-0.342606905,-0.266846627,-0.400556183,0.005556134,0.128026023,-0.131967763,-0.279658243,-0.390988125,-0.406148197,-0.373353763,FALSE,FALSE,1,0,-0.861246817
81,ftes_1hour,12/14/2024 6:00,2024-12-14T06:00:00,0.658161967,0.143023742,-0.342580825,-0.264902824,-0.401366327,0.005804105,0.138089332,-0.130068195,-0.289857831,-0.39115097,-0.406190071,-0.373110088,FALSE,FALSE,1,0,1.287967645
82,ftes_1hour,12/14/2024 7:00,2024-12-14T07:00:00,0.657798259,0.147644173,-0.34263397,-0.266728605,-0.401301476,0.005671852,0.143412793,-0.12921529,-0.299271629,-0.391353114,-0.406114517,-0.373027587,FALSE,FALSE,1,0,-0.461969292
83,ftes_1hour,12/14/2024 8:00,2024-12-14T08:00:00,0.65825382,0.15463005,-0.342603221,-0.2673399,-0.401416757,0.004635614,0.15025695,-0.129111108,-0.303300288,-0.391235628,-0.406244763,-0.373075487,FALSE,FALSE,1,0,0.556325278
84,ftes_1hour,12/14/2024 9:00,2024-12-14T09:00:00,0.658246097,0.158144779,-0.342494165,-0.267268757,-0.401640824,0.007734826,0.153694705,-0.129459189,-0.308978449,-0.39200612,-0.406270503,-0.373208738,FALSE,FALSE,1,0,-16.52928525
85,ftes_1hour,12/14/2024 10:00,2024-12-14T10:00:00,0.658096525,0.162761086,-0.342911907,-0.267287484,-0.401938842,0.004638151,0.158318739,-0.128653683,-0.31472858,-0.391537162,-0.406292554,-0.373881441,FALSE,FALSE,1,0,-1.12149278
86,ftes_1hour,12/14/2024 11:00,2024-12-14T11:00:00,0.658092609,0.168992811,-0.342852112,-0.269322777,-0.40169257,0.002675507,0.164768178,-0.128762484,-0.317252869,-0.39218394,-0.406224735,-0.374523773,FALSE,FALSE,1,0,-57.79323025
87,ftes_1hour,12/14/2024 12:00,2024-12-14T12:00:00,0.657754764,0.17535138,-0.342894321,-0.270734908,-0.401753487,0.001293287,0.171422031,-0.127207938,-0.319807203,-0.392867214,-0.406256442,-0.373859967,FALSE,FALSE,1,0,-0.684137761
88,ftes_1hour,12/14/2024 13:00,2024-12-14T13:00:00,0.658082101,0.181919275,-0.342935772,-0.268505428,-0.401915548,0.001394878,0.177911417,-0.127226164,-0.321447215,-0.393851249,-0.406276464,-0.374848853,FALSE,FALSE,1,0,0.72810896
89,ftes_1hour,12/14/2024 14:00,2024-12-14T14:00:00,0.658334273,0.185856333,-0.342804014,-0.268234697,-0.402426369,0.001906427,0.181650899,-0.127464377,-0.326141977,-0.39338727,-0.406323978,-0.374557077,FALSE,FALSE,1,0,0.566417724
90,ftes_1hour,12/14/2024 15:00,2024-12-14T15:00:00,0.657907416,0.186144462,-0.34285888,-0.270157275,-0.40261185,0.001682361,0.181948966,-0.127369199,-0.331595554,-0.393278057,-0.406375388,-0.375612086,FALSE,FALSE,1,0,-0.025112863
91,ftes_1hour,12/14/2024 16:00,2024-12-14T16:00:00,0.658154109,0.192179791,-0.342861064,-0.266882961,-0.402827643,0.000158197,0.188569914,-0.128012082,-0.338126935,-0.391260886,-0.406331496,-0.375626655,FALSE,FALSE,1,0,0.887919099
92,ftes_1hour,12/14/2024 17:00,2024-12-14T17:00:00,0.65798249,0.195492663,-0.342873129,-0.26600014,-0.403153179,-0.001943604,0.192188527,-0.128920302,-0.344985195,-0.39075874,-0.406328969,-0.374767211,FALSE,FALSE,1,0,-0.701667843
93,ftes_1hour,12/14/2024 18:00,2024-12-14T18:00:00,0.658196131,0.19789411,-0.342927364,-0.263684597,-0.401995892,-0.005695095,0.194469476,-0.129038879,-0.347899819,-0.39076228,-0.406315851,-0.374863048,FALSE,FALSE,1,0,0.407636941
94,ftes_1hour,12/14/2024 19:00,2024-12-14T19:00:00,0.658203178,0.201495891,-0.343048698,-0.265450658,-0.401907569,-0.005238525,0.198196449,-0.129161208,-0.346341723,-0.390695406,-0.406324578,-0.374861906,FALSE,FALSE,1,0,18.56057039
95,ftes_1hour,12/14/2024 20:00,2024-12-14T20:00:00,0.658361758,0.175089604,-0.343006026,-0.264432307,-0.404118587,-0.002391242,0.171982959,-0.129050475,-0.347611016,-0.390790818,-0.406358382,-0.376007685,FALSE,FALSE,1,0,-6.048184398
96,ftes_1hour,12/14/2024 21:00,2024-12-14T21:00:00,0.658243921,0.171634682,-0.342984459,-0.264972711,-0.404049331,-0.002162081,0.16911475,-0.127877119,-0.336630994,-0.391215323,-0.406331837,-0.374625091,FALSE,FALSE,1,0,1.064228504
97,ftes_1hour,12/14/2024 22:00,2024-12-14T22:00:00,0.657976342,0.177123848,-0.343111103,-0.266439985,-0.404163759,-0.00198493,0.174280713,-0.127539326,-0.320381592,-0.39109794,-0.406385776,-0.375577166,FALSE,FALSE,1,0,-0.745631151
98,ftes_1hour,12/14/2024 23:00,2024-12-14T23:00:00,0.658002786,0.180114706,-0.343035944,-0.265734743,-0.404313166,-0.002566708,0.177340285,-0.127098729,-0.309308444,-0.391495273,-0.40636424,-0.37548364,FALSE,FALSE,1,0,4.106958862
99,ftes_1hour,12/15/2024 0:00,2024-12-15T00:00:00,0.658219339,0.18933017,-0.342933789,-0.266940458,-0.403938244,-0.002755289,0.186157259,-0.127793712,-0.299935009,-0.391072678,-0.406388383,-0.375729141,FALSE,FALSE,1,0,1.544920005
